im_id	canonical_primitive	family_status	source_ids	source_mapping_status	source_concepts	constraint_shells_exact_if_mapped	nearest_existing	why_distinct	primitive_graph_signature_v1	semantic_tags	state_types	time_structure	information_structure	intervention_role	guarantee_type	ontology_annotation_status	source_evidence_raw	historical_shell_note	source_mapping_confidence	source_domain_span
IM-051	CONTROL CHANGES FASTER THAN SYSTEM CAN RELAX → PROTOCOL SELECTS FINAL STATE	pre_saturation_registry	P-918	rehydrated_from_donor_generation_pass_high_confidence	P-918:Field-ramp-rate trapping	P-918:Finite relaxation time			control→select→relax	control_decision;dynamics_memory	dynamic-state/path;action/policy	dynamic;multiscale	selected/conditioned	active control/decision	none-explicit	automatic first-pass from canonical family text; manual audit before hard exclusion	P-918 donor-generation primitive: CONTROL-RATE / RELAXATION-RATE → SELECT-FINAL-STATE	protocol dependence: final value vs ramp rate/relaxation	HIGH	P
IM-052	NO IMPROVING LOCAL EXCHANGE → GLOBAL OPTIMUM ONLY UNDER SPECIAL EXCHANGE GEOMETRY	pre_saturation_registry	M-787; M-788; M-789; M-790; M-791; M-792; M-793; M-794	rehydrated_from_donor_generation_pass_high_confidence	M-787:M-convex function | M-788:$M^\natural$-convexity | M-789:Exchange axiom for M-convexity | M-790:Valuated matroid | M-791:Discrete conjugacy | M-792:Discrete subgradient | M-793:Local-to-global optimality for M-convexity | M-794:Steepest-descent exchange	M-787:Conserved integer resource | M-788:Variable total resource | M-789:Discrete allocation | M-790:Matroid bases | M-791:Integer convex duality | M-792:Discrete convex function | M-793:M-convex landscape | M-794:Exchange neighborhood			structural_relation	optimization_constraints	generic	static/unspecified	unspecified	mechanism/structural	local	automatic first-pass from canonical family text; manual audit before hard exclusion	M-787–794 discrete-convex exchange family; M-793 is the local→global certificate anchor	local exchange is globally certifying only under M-convex/exchange geometry	HIGH	M
IM-053	FORBIDDEN/UNAVAILABLE COARSE STATE CAN BE REALIZED BY FAST OR RANDOM MICRO-MIXTURE	pre_saturation_registry	M-834; M-838	rehydrated_from_donor_generation_pass_high_confidence	M-834:Laminate measure | M-838:Oscillation-generated relaxation	M-834:Fine-scale mixtures | M-838:Scale separation			structural_relation	representation;dynamics_memory	dynamic-state/path	multiscale	unspecified	mechanism/structural	probabilistic	automatic first-pass from canonical family text; manual audit before hard exclusion	M-834 laminate measure + M-838 oscillation-generated relaxation; broader M-832–838 relaxation family	macrostate may be forbidden while compatible fine-scale mixtures/oscillations realize its coarse value	HIGH	M
IM-054	FREEZE NUISANCE INFORMATION → MOVE ONLY INSIDE REMAINING FIBER	pre_saturation_registry	S-770; S-771	rehydrated_from_donor_generation_pass_high_confidence	S-770:Conditional sample space | S-771:Nuisance elimination by conditioning	S-770:Conditional inference | S-771:Exponential-family structure			structural_relation	estimation_learning;information_incentive	generic	static/unspecified	strategic/informational	mechanism/structural	none-explicit	automatic first-pass from canonical family text; manual audit before hard exclusion	S-770/771 conditional-inference primitive: FREEZE-NUISANCE → INFER-FROM-REMAINING-VARIATION	conditioning requires nuisance-sufficient / valid conditional fiber structure	HIGH	S
IM-055	CONTINUOUS DESIRE/FORCE → DEAD ZONE → THRESHOLD → LUMPY MOVE	pre_saturation_registry	E-728; E-729	rehydrated_from_donor_generation_pass_high_confidence	E-728:Investment inaction region | E-729:Investment spike	E-728:Fixed costs | E-729:Lumpy investment			structural_relation	general_mechanism	generic	static/unspecified	unspecified	mechanism/structural	none-explicit	automatic first-pass from canonical family text; manual audit before hard exclusion	E-728/729 primitive: CONTINUOUS DESIRE → DEAD ZONE → DISCRETE CORRECTION	fixed/nonconvex adjustment costs create inaction band and lumpy action	HIGH	E
IM-056	CLUSTERING DOES NOT IDENTIFY THE INTERACTION THAT CREATED IT	pre_saturation_registry	S-602; S-603; S-608; S-612	rehydrated_from_donor_generation_pass_high_confidence	S-602:Inhomogeneous Poisson process | S-603:Log-Gaussian Cox process | S-608:Gibbs point process | S-612:Pair-correlation function	S-602:Spatially varying intensity | S-603:Latent intensity field | S-608:Interacting point pattern | S-612:Second-order spatial dependence			identify	identification_causal;control_decision	action/policy	static/unspecified	unspecified	active control/decision	none-explicit	automatic first-pass from canonical family text; manual audit before hard exclusion	S-602/603 latent intensity vs S-608 direct interaction; S-612 second-order diagnostic	clustering can arise from heterogeneous intensity or point-point interaction; observational clustering alone does not identify mechanism	HIGH	S
IM-057	LOCAL POSITIVE CLUSTERING FORCE + LARGE-SCALE OPPOSING COST → FINITE CLUSTER SCALE	pre_saturation_registry	P-833; P-834	rehydrated_from_donor_generation_pass_high_confidence	P-833:SALR interaction | P-834:Equilibrium finite-cluster phase	P-833:Competing-range forces | P-834:SALR			structural_relation	general_mechanism	generic	multiscale	support-limited	mechanism/structural	local	automatic first-pass from canonical family text; manual audit before hard exclusion	P-833 SALR interaction + P-834 equilibrium finite-cluster phase	short-range attraction plus longer-range repulsion arrests unlimited coalescence at finite scale	HIGH	P
IM-058	CAPACITY BELONGS TO GROUPS/SUBSETS, NOT NECESSARILY INDIVIDUAL EDGES	pre_saturation_registry	M-545; M-546; M-549; M-550	rehydrated_from_donor_generation_pass_high_confidence	M-545:Polymatroid | M-546:Polymatroid base polytope | M-549:Submodular flow | M-550:Polymatroidal flow	M-545:Submodular rank function | M-546:Continuous allocation | M-549:Network + submodular boundary | M-550:Network congestion structure			structural_relation	optimization_constraints	feasible-set;resource/flow	static/unspecified	unspecified	mechanism/structural	certificate/exact	automatic first-pass from canonical family text; manual audit before hard exclusion	M-545/550 primitive: CAPACITY MAY BELONG TO A COLLECTION, NOT INDIVIDUAL CHANNELS	subset/group capacity constraints and shared incident-edge capacity	HIGH	M
IM-059	REFERENCE MEASUREMENT IS ANOTHER SENSOR, NOT AUTOMATICALLY TRUTH	pre_saturation_registry	S-961; S-967	rehydrated_from_donor_generation_pass_high_confidence	S-961:Imperfect reference standard | S-967:Imperfect-reference bias	S-961:Diagnostic evaluation | S-967:Misclassified reference			measure	observation_measurement	observation/signal	static/unspecified	unspecified	passive inference/diagnostic	none-explicit	automatic first-pass from canonical family text; manual audit before hard exclusion	S-961 imperfect reference standard + S-967 imperfect-reference bias	reference/comparator can itself be fallible; agreement with it is not truth	HIGH	S
IM-060	UNSEEN MASS CAN BE INFERRED FROM PATTERNS OF REPEATED VISIBILITY	pre_saturation_registry	S-801; S-802; S-803	rehydrated_from_donor_generation_pass_high_confidence	S-801:Dual-system estimator | S-802:Capture history | S-803:Never-observed cell	S-801:Closed population + independence benchmark | S-802:Repeated partial observation | S-803:Hidden population			infer	identification_causal	generic	static/unspecified	unspecified	passive inference/diagnostic	none-explicit	automatic first-pass from canonical family text; manual audit before hard exclusion	S-801 dual-system estimator + S-802 capture history + S-803 never-observed cell	hidden population inferred from overlap/repeated visibility under capture-model assumptions	HIGH	S
IM-061	NO RELATION IN AGGREGATE ≠ NO RELATION AT SPECIFIC FREQUENCY/TIMESCALE	pre_saturation_registry	S-549; S-550; S-551; S-552	rehydrated_from_donor_generation_pass_high_confidence	S-549:Cross-spectrum | S-550:Spectral coherence | S-551:Phase spectrum | S-552:Partial coherence	S-549:Bivariate stationary process | S-550:Frequency-specific dependence | S-551:Complex cross-spectrum | S-552:Multivariate stationary process			structural_relation	sequential_time	generic	multiscale	unspecified	mechanism/structural	none-explicit	automatic first-pass from canonical family text; manual audit before hard exclusion	S-549–552 cross-spectrum/coherence family: interaction may exist only at particular timescales	stationarity/frequency-domain shell; aggregate time-domain relation can cancel or hide band-specific dependence	HIGH	S
IM-062	BETTER/FAVORABLE STATE EXISTS ≠ SYSTEM CAN REACH IT	pre_saturation_registry	P-729; P-733	rehydrated_from_donor_generation_pass_high_confidence	P-729:Landau critical velocity | P-733:Vortex nucleation barrier	P-729:Excitation spectrum | P-733:Metastability			structural_relation	dynamics_memory	dynamic-state/path	static/unspecified	unspecified	mechanism/structural	none-explicit	automatic first-pass from canonical family text; manual audit before hard exclusion	P-729/733 distinction: ENERGETICALLY FAVORABLE ≠ DYNAMICALLY ACCESSIBLE	state ranking/favorability is separate from path/barrier accessibility	HIGH	P
IM-063	EARLIEST ARRIVAL, NOT ONLY NEAREST DISTANCE, CAN PARTITION TERRITORY	pre_saturation_registry	M-613	rehydrated_from_donor_generation_pass_high_confidence	M-613:Johnson–Mehl tessellation	M-613:Nucleation-growth geometry			structural_relation	general_mechanism	generic	static/unspecified	unspecified	mechanism/structural	local	automatic first-pass from canonical family text; manual audit before hard exclusion	M-613 Johnson–Mehl primitive: GEOMETRIC-CLOSENESS ≠ EARLIEST-ARRIVAL	arrival depends jointly on distance, birth/start time, and propagation speed	HIGH	M
IM-064	ONE FAILURE REDISTRIBUTES LOAD → SURVIVORS CLOSER TO FAILURE → CASCADE	pre_saturation_registry	P-194; P-195	rehydrated_from_donor_generation_pass_high_confidence	P-194:Fiber-bundle model | P-195:Progressive failure	P-194:Load-sharing rule | P-195:Interaction/load transfer			structural_relation	dynamics_memory	distribution;resource/flow	static/unspecified	selected/conditioned	mechanism/structural	none-explicit	automatic first-pass from canonical family text; manual audit before hard exclusion	P-194 fiber-bundle + P-195 progressive failure	element failure redistributes load; redistribution can trigger secondary failure cascade	HIGH	P
IM-065	CREATE A SECOND PATH SO UNWANTED EFFECT CANCELS	pre_saturation_registry	S-069	rehydrated_from_donor_generation_pass_high_confidence	S-069:Orthogonal score	S-069:Local derivative cancellation			cancel	network_transport	graph/network	static/unspecified	unspecified	mechanism/structural	none-explicit	automatic first-pass from canonical family text; manual audit before hard exclusion	S-069 orthogonal-score primitive: nuisance error reaches target through one path → construct second path → local cancellation	orthogonality/local derivative cancellation shell; not generic interference	HIGH	S
IM-066	SAME OBSERVED DATA + DIFFERENT DATA-GENERATING DESIGN → DIFFERENT VALID INFERENCE	pre_saturation_registry	S-750; S-754; S-760	rehydrated_from_donor_generation_pass_high_confidence	S-750:Covariate-adaptive randomization inference | S-754:Randomization distribution | S-760:Design–analysis compatibility	S-750:Design-aware inference | S-754:Known assignment mechanism | S-760:Experimental design			observe→infer	observation_measurement;identification_causal;certificate_validation	observation/signal	static/unspecified	unspecified	passive inference/diagnostic	none-explicit	automatic first-pass from canonical family text; manual audit before hard exclusion	S-750 adaptive randomization inference + S-754 randomization distribution + S-760 design–analysis compatibility	same observed outcomes/table can require different reference distributions under different assignment/data-generation designs	HIGH	S
IM-067	BLOCK ONE CHANNEL → ACTIVITY REROUTES INTO ANOTHER CHANNEL	pre_saturation_registry	P-771; P-772	rehydrated_from_donor_generation_pass_high_confidence	P-771:Precipitation clogging | P-772:Flow diversion by precipitation	P-771:Supersaturation | P-772:Networked pores			route	network_transport	graph/network	static/unspecified	unspecified	mechanism/structural	none-explicit	automatic first-pass from canonical family text; manual audit before hard exclusion	P-771 precipitation clogging + P-772 flow diversion by precipitation	network has alternate paths; blocked/clogged channel diverts flow rather than simply deleting activity	HIGH	P
IM-068	CURRENT OUTPUT CAN LOOK NORMAL WHILE HIDDEN PIPELINE/RESERVOIR GUARANTEES DIFFERENT FUTURE	pre_saturation_registry	E-739; E-740	rehydrated_from_donor_generation_pass_high_confidence	E-739:Time-to-build capital | E-740:Investment gestation pipeline	E-739:Construction/installation lag | E-740:Multi-stage construction			structural_relation	certificate_validation;sequential_time	latent/information-state	sequential	latent/partial	mechanism/structural	certificate/exact	automatic first-pass from canonical family text; manual audit before hard exclusion	E-739 time-to-build + E-740 investment gestation pipeline	current output can omit committed unfinished pipeline that determines future productive stock	HIGH	E
IM-069	SEVERAL SERVICES/MODES SHARE ONE RESOURCE → ONE STARVES OTHERS	pre_saturation_registry	E-649	rehydrated_from_donor_generation_pass_high_confidence	E-649:Energy–reserve co-optimization	E-649:Shared generation capacity			structural_relation	general_mechanism	resource/flow	static/unspecified	unspecified	mechanism/structural	none-explicit	automatic first-pass from canonical family text; manual audit before hard exclusion	E-649 energy–reserve co-optimization: MULTIPLE SERVICES → SAME UNDERLYING CAPACITY → JOINT OPPORTUNITY COST	services share one physical capacity and cannot each count the full nominal resource	HIGH	E
IM-070	GLOBAL SIZE HUGE; HARDNESS CONTROLLED BY INTERFACE WIDTH	pre_saturation_registry	M-561; M-562; M-574; M-575; M-576	rehydrated_from_donor_generation_pass_high_confidence	M-561:Tree decomposition | M-562:Treewidth | M-574:Dynamic programming on treewidth | M-575:Branch decomposition | M-576:Branchwidth	M-561:Graph decomposition | M-562:Combinatorial width | M-574:Bounded treewidth | M-575:Connectivity decomposition | M-576:Graph connectivity width			control	control_decision	action/policy	static/unspecified	unspecified	active control/decision	none-explicit	automatic first-pass from canonical family text; manual audit before hard exclusion	M-561/562 tree decomposition/treewidth + M-574–576 boundary-state dynamic programming/branchwidth	global problem may be huge while computational hardness is controlled by separator/interface width	HIGH	M
IM-071	VARIABLE CAN BE CAUSED BY YESTERDAY'S ACTION AND CAUSE TOMORROW'S ACTION/OUTCOME	pre_saturation_registry	S-127; S-725	rehydrated_from_donor_generation_evidence_v6	S-127:Marginal structural model | S-725:Time-varying confounder affected by prior treatment	S-127:Sequential exchangeability | S-725:Longitudinal causal feedback			structural_relation	control_decision	action/policy	static/unspecified	unspecified	active control/decision	none-explicit	automatic first-pass from canonical family text; manual audit before hard exclusion	Marginal structural model + time-varying confounder affected by prior treatment	past action can alter a variable that later affects both action and outcome; ordinary adjustment can break causal paths	HIGH	S
IM-072	DON'T SAMPLE TYPICAL PATHS IF QUESTION IS ABOUT ATYPICAL PATH	pre_saturation_registry	S-093; M-115	rehydrated_from_donor_generation_evidence_v6	S-093:Importance sampling | M-115:Large deviations	S-093:Support overlap | M-115:Asymptotic exponential scaling			structural_relation	observation_measurement;network_transport	graph/network;observation/signal	static/unspecified	unspecified	mechanism/structural	none-explicit	automatic first-pass from canonical family text; manual audit before hard exclusion	Importance sampling + large deviations	rare/atypical-path target requires tilted sampling or rare-path geometry rather than typical-path frequency	HIGH	M;S
IM-073	THROW AWAY MOST OF NETWORK BUT PRESERVE BOTTLENECK QUERIES	pre_saturation_registry	M-360; M-577; M-578	rehydrated_from_donor_generation_evidence_v6	M-360:Spectral sparsification | M-577:Gomory–Hu tree | M-578:Cut-equivalent tree	M-360:Weighted graph approximation | M-577:Undirected capacities | M-578:Cut structure			structural_relation	network_transport	graph/network	static/unspecified	unspecified	mechanism/structural	none-explicit	automatic first-pass from canonical family text; manual audit before hard exclusion	Spectral sparsification + Gomory–Hu/cut-equivalent tree	compression is valid only for declared cut/quadratic query families; not arbitrary network behavior	HIGH	M
IM-074	BALANCE MANY CONDITIONS VIA DISCREPANCY CONTROL	pre_saturation_registry	M-581; M-582; M-583; M-584; M-585; M-586	rehydrated_from_donor_generation_evidence_v6	M-581:Set-system discrepancy | M-582:Hereditary discrepancy | M-583:Vector discrepancy | M-584:Beck–Fiala mechanism | M-585:Spencer discrepancy phenomenon | M-586:Partial coloring	M-581:Family of subsets | M-582:All induced subsystems | M-583:Vector relaxation | M-584:Bounded incidence | M-585:High-dimensional set system | M-586:Iterative discrepancy minimization			control→condition	control_decision	action/policy	static/unspecified	unspecified	active control/decision	none-explicit	automatic first-pass from canonical family text; manual audit before hard exclusion	Discrepancy / vector balancing / partial coloring family	simultaneous balance guarantees depend on incidence/geometry; not every many-constraint system admits small discrepancy	HIGH	M
IM-075	DELIBERATELY REMOVE BAD COMPONENT TO IMPROVE SURVIVING SYSTEM	pre_saturation_registry	P-500	rehydrated_from_donor_generation_evidence_v6	P-500:Sacrificial-bond toughening	P-500:Hierarchical material			structural_relation	general_mechanism	generic	static/unspecified	selected/conditioned	mechanism/structural	none-explicit	automatic first-pass from canonical family text; manual audit before hard exclusion	Sacrificial-bond toughening	weak component is intentionally consumed/removed to absorb load and protect the surviving load-bearing structure	HIGH	P
IM-076	FAILURE TO FIND SOLUTION ≠ PROOF NONE EXISTS; SOME FAILURES HAVE SHORT WITNESS	pre_saturation_registry	M-523; M-524	rehydrated_from_donor_generation_evidence_v6	M-523:Farkas lemma | M-524:Alternative theorem	M-523:Linear alternatives | M-524:Linear/conic feasibility			structural_relation	certificate_validation	generic	static/unspecified	unspecified	mechanism/structural	certificate/exact	automatic first-pass from canonical family text; manual audit before hard exclusion	Farkas lemma + alternative theorem	infeasibility can have a short separating/dual certificate under linear/conic structure; search failure alone is not proof	HIGH	M
IM-077	GOOD MODULES + BAD INTERFACE → BAD GLOBAL TRANSFER	pre_saturation_registry	P-300; M-140	rehydrated_from_donor_generation_evidence_v6	P-300:Boundary resistance / Kapitza resistance | M-140:Domain decomposition	P-300:Mode mismatch at interface | M-140:Locality/interface conditions			structural_relation	general_mechanism	generic	static/unspecified	unspecified	mechanism/structural	none-explicit	automatic first-pass from canonical family text; manual audit before hard exclusion	Boundary/Kapitza resistance + domain decomposition	good local modules require compatible interface conditions; interface mismatch can dominate global transfer	HIGH	M;P
IM-078	STATE DETERIORATES → NEW CONSTRAINTS ACTIVATE → FREEDOM FALLS → FURTHER DETERIORATION	pre_saturation_registry	P-680; P-880	rehydrated_from_donor_generation_evidence_v6	P-680:Constraint-rheology mechanism | P-880:Degradation-area feedback	P-680:Dense particulate system | P-880:Coupled degradation			structural_relation	optimization_constraints;dynamics_memory	dynamic-state/path;feasible-set	static/unspecified	unspecified	mechanism/structural	none-explicit	automatic first-pass from canonical family text; manual audit before hard exclusion	Constraint-rheology + degradation-area feedback	constraint activation shrinks accessible configurations; degradation can concentrate load and accelerate further degradation; exact combined loop is a composition	MEDIUM_HIGH	P
IM-079	EVERY LOCAL PIECE CAN WORK WHILE NO GLOBAL OBJECT EXISTS	pre_saturation_registry	M-488; M-489; M-490; M-491; M-492; M-496; M-500	rehydrated_from_donor_generation_evidence_v6	M-488:Sheaf | M-489:Local section | M-490:Gluing axiom | M-491:Sheaf obstruction | M-492:Sheaf cohomology | M-496:Obstruction theory | M-500:Local-to-global consistency principle	M-488:Local-to-global structure | M-489:Sheaf/local domain | M-490:Exact compatibility | M-491:Local compatibility network | M-492:Derived local-to-global structure | M-496:CW/simplicial structures | M-500:Overlap/gluing architecture			structural_relation	general_mechanism	generic	static/unspecified	unspecified	mechanism/structural	local	automatic first-pass from canonical family text; manual audit before hard exclusion	Sheaf/local-to-global obstruction family	local validity is insufficient; overlaps/gluing can fail and obstruction witnesses can certify global inconsistency	HIGH	M
IM-080	PERFORMANCE NOT INTRINSIC TO TEST/MODEL; DEPENDS ON POPULATION SPECTRUM	pre_saturation_registry	S-713	rehydrated_from_donor_generation_evidence_v6	S-713:Spectrum effect	S-713:Population composition			structural_relation	general_mechanism	generic	static/unspecified	unspecified	mechanism/structural	none-explicit	automatic first-pass from canonical family text; manual audit before hard exclusion	Spectrum effect	test/model performance depends on severity/case-mix population spectrum, not only the nominal test	HIGH	S
IM-081	PROXY USEFUL UNTIL DIRECT EVIDENCE ARRIVES; WEIGHT SHOULD FALL	pre_saturation_registry	E-523; E-524	rehydrated_from_donor_generation_evidence_v6	E-523:Employer learning | E-524:Credential-weight decay	E-523:Repeated employment | E-524:Employer learning			structural_relation	general_mechanism	generic	static/unspecified	unspecified	mechanism/structural	none-explicit	automatic first-pass from canonical family text; manual audit before hard exclusion	Employer learning + credential-weight decay	proxy weight should fall as direct performance evidence accumulates	HIGH	E
IM-082	ONE LONG HISTORY NEED NOT REPRESENT MANY PARALLEL REALIZATIONS	pre_saturation_registry	M-335; P-140	rehydrated_from_donor_generation_evidence_v6	M-335:Ergodic theorem | P-140:Weak ergodicity breaking	M-335:Ergodicity | P-140:Heavy-tailed trapping			represent	representation;sequential_time	generic	sequential	unspecified	mechanism/structural	none-explicit	automatic first-pass from canonical family text; manual audit before hard exclusion	Ergodic theorem positive control + weak ergodicity breaking	time average from one long path represents ensemble only under ergodicity-like conditions; heavy trapping can break it	HIGH	M;P
IM-083	ELIMINATING HIDDEN INTERNAL PARTS CAN CREATE EFFECTIVE RESPONSE WITH DIFFERENT SIGN/SHAPE	pre_saturation_registry	M-132; P-682; P-683; P-691	rehydrated_from_donor_generation_evidence_v6	M-132:Schur complement | P-682:Negative effective mass density | P-683:Negative effective bulk modulus | P-691:Resonance-induced effective-parameter sign flip	M-132:Block invertibility | P-682:Locally resonant medium | P-683:Acoustic resonators | P-691:Dispersive resonance			structural_relation	general_mechanism	latent/information-state	static/unspecified	latent/partial	mechanism/structural	none-explicit	automatic first-pass from canonical family text; manual audit before hard exclusion	Schur elimination + hidden resonator effective-sign reversal	eliminating hidden/internal degrees of freedom can alter effective coefficient shape/sign rather than merely average components	HIGH	M;P
IM-084	CONVEX MIXING TOO PERMISSIVE; ONLY COMPATIBLE MICRO-MIXTURES REALIZABLE	pre_saturation_registry	M-832; M-833; M-834; M-835; M-838	rehydrated_from_donor_generation_evidence_v6	M-832:Rank-one convex hull | M-833:Quasiconvex envelope | M-834:Laminate measure | M-835:Gradient differential inclusion | M-838:Oscillation-generated relaxation	M-832:Matrix constraints | M-833:Gradient variational problem | M-834:Fine-scale mixtures | M-835:PDE inclusion | M-838:Scale separation			structural_relation	general_mechanism	feasible-set	static/unspecified	unspecified	mechanism/structural	none-explicit	automatic first-pass from canonical family text; manual audit before hard exclusion	Rank-one/quasiconvex relaxation + laminate/oscillation family	ordinary convex mixtures may be unrealizable; micro-mixtures must satisfy compatibility/gradient geometry	HIGH	M
IM-085	TWO SAFEGUARDS USING SAME FAILURE MODEL ARE NOT INDEPENDENT SAFEGUARDS	pre_saturation_registry	E-561; E-562	rehydrated_from_donor_generation_evidence_v6	E-561:Risk-weighted capital requirement | E-562:Leverage-ratio backstop	E-561:Regulatory risk weights | E-562:Model-independent balance-sheet constraint			structural_relation	general_mechanism	generic	static/unspecified	unspecified	mechanism/structural	none-explicit	automatic first-pass from canonical family text; manual audit before hard exclusion	Risk-weighted capital + leverage-ratio backstop	two controls tied to the same risk model share model-error failure; a backstop using a different observable closes a distinct failure channel	HIGH	E
IM-086	DISCRETE OBSERVED STATES CAN BE CREATED BY OBSERVATION RULE, NOT DISCRETE REAL STATES	pre_saturation_registry	M-681; M-682; M-687; M-689; M-694	rehydrated_from_donor_generation_evidence_v6	M-681:Symbolic coding | M-682:Itinerary | M-687:Markov partition | M-689:Semiconjugacy | M-694:Generating partition	M-681:Partitioned state space | M-682:Dynamical partition | M-687:Hyperbolic dynamics | M-689:Many-to-one dynamics map | M-694:Measure dynamics			observe	observation_measurement;dynamics_memory	dynamic-state/path;observation/signal	static/unspecified	unspecified	passive inference/diagnostic	none-explicit	automatic first-pass from canonical family text; manual audit before hard exclusion	Symbolic coding / Markov partition / semiconjugacy	discrete observed labels can be imposed by a partition of continuous state; discreteness of code does not imply discrete ontology	HIGH	M
IM-087	A AND B CAN APPEAR TO INTERACT BECAUSE BOTH COUPLE THROUGH A THIRD VARIABLE/MEDIUM	pre_saturation_registry	S-343; S-347; P-249	rehydrated_from_donor_generation_evidence_v6	S-343:Back-door adjustment | S-347:FCI algorithm | P-249:RKKY interaction	S-343:Observed confounders | S-347:Latent confounding | P-249:Mediating electron sea			structural_relation	general_mechanism	generic	static/unspecified	unspecified	mechanism/structural	none-explicit	automatic first-pass from canonical family text; manual audit before hard exclusion	Confounding/common-cause diagnostics + medium-mediated effective interaction	third-variable coupling can create apparent association; a physical mediator can also create a real effective pair interaction—shell must distinguish common cause from mediation	MEDIUM	P;S
IM-088	BOUNDARY IS NOT FIXED; STATE INCLUDES WHERE BOUNDARY IS	pre_saturation_registry	P-355	rehydrated_from_donor_generation_evidence_v6	P-355:Stefan problem	P-355:Moving phase boundary			bound	certificate_validation;dynamics_memory;network_transport	dynamic-state/path	static/unspecified	unspecified	mechanism/structural	bound	automatic first-pass from canonical family text; manual audit before hard exclusion	Stefan moving-boundary problem	boundary location is endogenous state because transport moves the boundary and boundary location changes future transport	HIGH	P
IM-089	COMPLEMENTARY PARTS CANNOT GENERALLY SUBSTITUTE; PARTIAL SUCCESS MAY BE WORTHLESS	pre_saturation_registry	E-501; E-514	rehydrated_from_donor_generation_evidence_v6	E-501:Leontief input complementarity | E-514:Bottleneck-input mechanism	E-501:Near-zero substitution | E-514:Strong complementarity			structural_relation	general_mechanism	generic	static/unspecified	unspecified	mechanism/structural	none-explicit	automatic first-pass from canonical family text; manual audit before hard exclusion	Leontief / bottleneck-input complementarity	indispensable complements have near-zero substitution; extra quantity of one cannot compensate missing other part	HIGH	E
IM-090	A→B AND B→A NEED NOT BE SAME CHANNEL/STRENGTH	pre_saturation_registry	P-699	rehydrated_from_donor_generation_evidence_v6	P-699:Acoustic nonreciprocity by active/time modulation	P-699:Broken reciprocity			structural_relation	network_transport	generic	static/unspecified	unspecified	mechanism/structural	none-explicit	automatic first-pass from canonical family text; manual audit before hard exclusion	Acoustic nonreciprocity	A→B and B→A transfer can differ when reciprocity is broken; direction must be explicit	HIGH	P
IM-091	PATH-SPECIFIC EFFECT MAY BE UNIDENTIFIABLE BECAUSE AN INTERMEDIATE WOULD NEED INCOMPATIBLE STATES	pre_saturation_registry	S-652; S-653	rehydrated_from_donor_generation_evidence_v6	S-652:Path-specific effect | S-653:Recanting-witness obstruction	S-652:Causal DAG | S-653:Conflicting path assignments			structural_relation	identification_causal;dynamics_memory;network_transport	graph/network;dynamic-state/path	static/unspecified	latent/partial	mechanism/structural	none-explicit	automatic first-pass from canonical family text; manual audit before hard exclusion	Path-specific effect + recanting-witness obstruction	same mediator may need incompatible counterfactual states on allowed vs forbidden paths, destroying identification	HIGH	S
IM-092	ACTION CAN CHANGE MACHINE THAT GENERATES FUTURE PREFERENCES/INCENTIVES	pre_saturation_registry	E-020; E-394; E-395	rehydrated_from_donor_generation_evidence_v6	E-020:Learning by doing | E-394:Habit formation | E-395:Rational addiction mechanism	E-020:Experience accumulation | E-394:Consumption memory | E-395:Habit stock dynamics			structural_relation	observation_measurement;control_decision;information_incentive;sequential_time	action/policy	sequential	unspecified	active control/decision	none-explicit	automatic first-pass from canonical family text; manual audit before hard exclusion	Learning-by-doing + habit/rational-addiction dynamics	today's action changes the state that generates future productivity/preferences/incentives	HIGH	E
IM-093	COSTLY INFORMATION + FREE COPYING FROM OUTPUT → PERFECT REVELATION CAN DESTROY INCENTIVE TO CREATE INFO	pre_saturation_registry	E-456; E-457	rehydrated_from_donor_generation_evidence_v6	E-456:Information acquisition externality | E-457:Grossman–Stiglitz mechanism	E-456:Informational markets | E-457:Costly information			structural_relation	information_incentive	generic	static/unspecified	lossy/garbled;strategic/informational	mechanism/structural	none-explicit	automatic first-pass from canonical family text; manual audit before hard exclusion	Information-acquisition externality + Grossman–Stiglitz	costly information revealed through output/price can be copied by free riders, reducing incentive to produce it	HIGH	E
IM-094	LIMITED INFORMATION CAPACITY SHOULD BE SPENT ON DISTINCTIONS THAT CAN CHANGE DECISION	pre_saturation_registry	E-100; E-458	rehydrated_from_donor_generation_evidence_v6	E-100:Rational inattention | E-458:Rational inattention channel capacity	E-100:Information-processing constraint | E-458:Information cost			structural_relation	control_decision;information_incentive	action/policy;resource/flow	static/unspecified	strategic/informational	mechanism/structural	none-explicit	automatic first-pass from canonical family text; manual audit before hard exclusion	Rational inattention + channel-capacity formulation	limited processing budget should be allocated to distinctions with decision value	HIGH	E
IM-095	DECENTRALIZED ACQUISITION OF COMPLEMENTS → EXPOSURE TO USELESS PARTIAL PACKAGES	pre_saturation_registry	E-344; E-345; E-346	rehydrated_from_donor_generation_evidence_v6	E-344:Combinatorial auction | E-345:Package bidding | E-346:Exposure problem	E-344:Complementarity | E-345:Nonadditive valuations | E-346:Complementarity + decentralized auctions			structural_relation	sequential_time	generic	sequential	unspecified	mechanism/structural	none-explicit	automatic first-pass from canonical family text; manual audit before hard exclusion	Combinatorial/package bidding + exposure problem	decentralized acquisition of complements can leave a useless partial package; package mechanism coordinates complementarity	HIGH	E
