prefilter_rank	prefilter_score	donor_im	target_im	donor_domain	target_domain	cosine	primitive_jaccard	source_concept_jaccard	donor_primitive	target_primitive	donor_sources	target_sources	donor_shell	target_shell	donor_role	donor_guarantee	screen_reason
148	5.127102686838777	IM-225	IM-359	M	E	0.012252703356179355	0.0	0.0	DEPENDENT SEQUENTIAL DATA CAN STILL HAVE SHARP DEVIATION GUARANTEES IF SURPRISES AND PREDICTABLE VARIANCE ARE CONTROLLED	CONTROL THE INFORMATION STRUCTURE RATHER THAN THE STATE TO CHANGE ANOTHER DECISION-MAKER'S ACTION	M-311; M-313	E-401	M-311:Martingale difference structure | M-313:Martingale variance process	E-401:Sender commitment to information structure	active control/decision	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
149	5.124483353831615	IM-374	IM-258	P	M	0.04986391834686931	0.0	0.0	REPEATED INDIVIDUALLY SUBCRITICAL LOAD CYCLES CAN GROW A HIDDEN DEFECT UNTIL FAILURE	SIMULTANEOUS MECHANISMS CAN SOMETIMES BE SOLVED BY RAPIDLY ALTERNATING THEIR SEPARATE EASY DYNAMICS	P-233	M-233; M-234	P-233:Cyclic loading	M-233:Decomposable generator/operator | M-234:Generator regularity	mechanism/structural	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
150	5.124243514840892	IM-241	IM-191	M	S	0.09410972517357095	0.0	0.0	SPARSE LOCAL MESSAGES CAN RECOVER A GLOBAL BELIEF/CONSISTENCY STATE — BUT LOOPS CHANGE THE VALIDITY CONTRACT	LATENT COMPONENT NAMES MAY BE PURE SYMMETRY; A NAMED HIDDEN CLASS IS NOT AUTOMATICALLY AN IDENTIFIED ENTITY	M-269; M-270	S-269; S-270	M-269:Sparse factor graph | M-270:Tree exact; loopy approximate	S-269: Structural conditions; S-270: Symmetry	mechanism/structural	local	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
151	5.1232945038949085	IM-208	IM-219	M	P	0.049774870013893704	0.0	0.0	A NON-MARKOV OBSERVED PROCESS CAN BECOME MARKOV AFTER ADDING THE RIGHT MEMORY VARIABLE	A SYSTEM’S ARROW OF TIME CAN BE VISIBLE IN FORWARD/REVERSE PATH PROBABILITIES EVEN WHEN MACRO STATE IS STATIONARY	M-121; M-122	P-121; P-124; P-125	M-121: Markovization; M-122: Duration dependence	P-121: Nonequilibrium drive; P-124: Stochastic thermodynamics; P-125: Nonequilibrium path probabilities	passive inference/diagnostic	none-explicit	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
152	5.123253490882962	IM-249	IM-066	M	S	0.011870455516656282	0.0	0.0	REPLACE AN INACCESSIBLE INTERIOR SOURCE BY A BOUNDARY-EQUIVALENT SOURCE THAT PRESERVES EXTERNAL OBSERVABLES	SAME OBSERVED DATA + DIFFERENT DATA-GENERATING DESIGN → DIFFERENT VALID INFERENCE	M-655	S-750; S-754; S-760	M-655:Potential equivalence	S-750:Design-aware inference | S-754:Known assignment mechanism | S-760:Experimental design	passive inference/diagnostic	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
153	5.122847028100586	IM-311	IM-053	S	M	0.011829999435635702	0.0	0.0	MANY SIGNALS CAN BE INDIVIDUALLY UNDETECTABLE YET COLLECTIVELY DETECTABLE THROUGH A SMALL GLOBAL DISTORTION OF NULL	FORBIDDEN/UNAVAILABLE COARSE STATE CAN BE REALIZED BY FAST OR RANDOM MICRO-MIXTURE	S-174	M-834; M-838	S-174:Rare/weak regime	M-834:Fine-scale mixtures | M-838:Scale separation	passive inference/diagnostic	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
154	5.122088792868216	IM-181	IM-376	M	P	0.0117544834932494	0.0	0.0	INTERROGATE AN INACCESSIBLE INTERIOR THROUGH CONTROLLED BOUNDARY INPUTS AND BOUNDARY RESPONSES	LOCALLY STABLE REACTION DYNAMICS CAN BECOME SPATIALLY UNSTABLE SOLELY BECAUSE COMPONENTS DIFFUSE AT DIFFERENT RATES	M-431; M-432	P-090	M-431: PDE boundary access; M-432: Elliptic PDE	P-090:Reaction-diffusion coupling	active control/decision	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
155	5.121922426297816	IM-206	IM-091	M	S	0.011737906084774583	0.0	0.0	INFER LONG-TIME BEHAVIOR FROM TRANSFORM BEHAVIOR NEAR A BOUNDARY/LOW FREQUENCY	PATH-SPECIFIC EFFECT MAY BE UNIDENTIFIABLE BECAUSE AN INTERMEDIATE WOULD NEED INCOMPATIBLE STATES	M-125; M-126	S-652; S-653	M-125: Regularity assumptions; M-126: Summability structure	S-652:Causal DAG | S-653:Conflicting path assignments	passive inference/diagnostic	bound;local	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
156	5.1214897930038	IM-206	IM-343	M	S	0.011694782927456873	0.0	0.0	INFER LONG-TIME BEHAVIOR FROM TRANSFORM BEHAVIOR NEAR A BOUNDARY/LOW FREQUENCY	A VARIABLE KNOWN NOT TO LIE ON THE TARGET CAUSAL PATH CAN STILL BE USED TO EXPOSE OR BRIDGE HIDDEN CONFOUNDING	M-125; M-126	S-349; S-350; S-351; S-352	M-125: Regularity assumptions; M-126: Summability structure	S-349:Known causal null | S-350:Known causal null | S-351:Completeness/proxy conditions | S-352:Integral-equation identification	passive inference/diagnostic	bound;local	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
157	5.121370406454508	IM-272	IM-397	S	M	0.078782156555844	0.0	0.0	MANY TINY SAME-DIRECTION ERRORS CAN BECOME STRONG EVIDENCE THROUGH ACCUMULATION EVEN WHEN NO SINGLE OBSERVATION IS ABNORMAL	TOPOLOGICAL TRACE CAN FORCE A FIXED POINT EVEN WHEN NO FIXED POINT IS CONSTRUCTED DIRECTLY	S-333	M-499	S-333:Sequential change detection	see canonical 4000-record inventory	passive inference/diagnostic	none-explicit	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
158	5.120056084172601	IM-206	IM-159	M	P	0.03615128513541317	0.09090909090909091	0.0	INFER LONG-TIME BEHAVIOR FROM TRANSFORM BEHAVIOR NEAR A BOUNDARY/LOW FREQUENCY	YOU CAN INFER AN INFINITE/LARGE-SYSTEM TRANSITION FROM HOW FINITE SYSTEMS MOVE WITH SIZE	M-125; M-126	P-157	M-125: Regularity assumptions; M-126: Summability structure	P-157:Scaling hypothesis	passive inference/diagnostic	bound;local	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
159	5.120001965024611	IM-196	IM-091	M	S	0.011546328500889685	0.0	0.0	RECOVERY CAN HAVE A SHARP COMPLEXITY–MEASUREMENT GEOMETRY BOUNDARY	PATH-SPECIFIC EFFECT MAY BE UNIDENTIFIABLE BECAUSE AN INTERMEDIATE WOULD NEED INCOMPATIBLE STATES	M-279; M-280	S-652; S-653	M-279: Sparsity + measurement geometry; M-280: Sparse signal class	S-652:Causal DAG | S-653:Conflicting path assignments	passive inference/diagnostic	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
160	5.119175219120828	IM-300	IM-247	S	M	0.04946607878242604	0.0	0.0	AN INTERVENTION CAN CREATE THE CONFOUNDER THAT LATER PREVENTS CLEAN DECOMPOSITION OF ITS OWN EFFECT	BOUNDARY INFLUENCE IS SET BY DYNAMICAL/GEOMETRIC ACCESSIBILITY, NOT RAW BOUNDARY SIZE	S-648; S-725	M-645; M-648	S-648:Time-varying causal structure | S-725:Longitudinal causal feedback	M-645:Domain geometry | M-648:Fine boundary geometry	active control/decision	none-explicit	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
161	5.1171005266514396	IM-377	IM-348	P	S	0.04931040957622748	0.0	0.0	AN INTERMEDIATE AMOUNT OF NOISE CAN IMPROVE DETECTION OR REGULARITY WHEN ZERO AND LARGE NOISE BOTH PERFORM WORSE	A COUNTERFACTUAL TRAJECTORY CAN BE CONSTRUCTED AS A WEIGHTED MIXTURE OF MANY IMPERFECT DONOR UNITS	P-065; P-066; P-376; P-377	S-066	P-065:Threshold/nonlinear system | P-066:Excitable dynamics | P-376:Noise + bistability | P-377:Excitable system	S-066:Pre-treatment comparability	passive inference/diagnostic	none-explicit	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
162	5.116365705359301	IM-359	IM-280	E	S	0.06594160704132566	0.05555555555555555	0.0	CONTROL THE INFORMATION STRUCTURE RATHER THAN THE STATE TO CHANGE ANOTHER DECISION-MAKER'S ACTION	UNCERTAINTY WIDTH ITSELF CAN BE A FEEDBACK CONTROL VARIABLE USED TO RESTORE A COVERAGE TARGET	E-401	S-390	E-401:Sender commitment to information structure	S-390:Online feedback	information/measurement control	none-explicit	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
163	5.1152390242226495	IM-249	IM-091	M	S	0.011069471154669698	0.0	0.0	REPLACE AN INACCESSIBLE INTERIOR SOURCE BY A BOUNDARY-EQUIVALENT SOURCE THAT PRESERVES EXTERNAL OBSERVABLES	PATH-SPECIFIC EFFECT MAY BE UNIDENTIFIABLE BECAUSE AN INTERMEDIATE WOULD NEED INCOMPATIBLE STATES	M-655	S-652; S-653	M-655:Potential equivalence	S-652:Causal DAG | S-653:Conflicting path assignments	passive inference/diagnostic	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
164	5.114814695124387	IM-249	IM-156	M	E;P	0.011026867720747131	0.0	0.0	REPLACE AN INACCESSIBLE INTERIOR SOURCE BY A BOUNDARY-EQUIVALENT SOURCE THAT PRESERVES EXTERNAL OBSERVABLES	SYMMETRIC RULES CAN PRODUCE AN ASYMMETRIC REALIZED STATE; TINY COORDINATION SIGNALS CAN SELECT WHICH ONE	M-655	P-014; E-155; E-156	M-655:Potential equivalence	P-014:Degeneracy/instability | E-155:Multiple equilibria | E-156:Expectations coordination	passive inference/diagnostic	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
165	5.1146064012695485	IM-196	IM-171	M	P	0.011005947376381723	0.0	0.0	RECOVERY CAN HAVE A SHARP COMPLEXITY–MEASUREMENT GEOMETRY BOUNDARY	A LOCALLY CAPABLE SOURCE MAY FAIL TO PROPAGATE BECAUSE THE DOWNSTREAM SINK/LOAD IS TOO LARGE	M-279; M-280	P-473; P-999	M-279: Sparsity + measurement geometry; M-280: Sparse signal class	P-473: Excitation current balance; P-999: Geometry + finite coupling	passive inference/diagnostic	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
166	5.114401224760147	IM-249	IM-197	M	P	0.019395545175212497	0.0625	0.0	REPLACE AN INACCESSIBLE INTERIOR SOURCE BY A BOUNDARY-EQUIVALENT SOURCE THAT PRESERVES EXTERNAL OBSERVABLES	TRANSITION/DECAY RATE DEPENDS ON AVAILABLE FINAL STATES IN THE ENVIRONMENT, NOT ONLY ON THE SOURCE	M-655	P-269; P-270	M-655:Potential equivalence	P-269: Structured environment; P-270: Density-of-states engineering	passive inference/diagnostic	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
167	5.113548440612913	IM-225	IM-291	M	S	0.01768970826142086	0.05	0.0	DEPENDENT SEQUENTIAL DATA CAN STILL HAVE SHARP DEVIATION GUARANTEES IF SURPRISES AND PREDICTABLE VARIANCE ARE CONTROLLED	IN SEQUENTIAL DISCOVERY, FUTURE TESTING BUDGET CAN BE A STOCHASTIC STATE CREATED OR DEPLETED BY EARLIER RESULTS	M-311; M-313	S-391; S-392	M-311:Martingale difference structure | M-313:Martingale variance process	S-391:Sequential multiple testing | S-392:Online error control	active control/decision	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
168	5.113459385630353	IM-196	IM-197	M	P	0.010890659180830181	0.0	0.0	RECOVERY CAN HAVE A SHARP COMPLEXITY–MEASUREMENT GEOMETRY BOUNDARY	TRANSITION/DECAY RATE DEPENDS ON AVAILABLE FINAL STATES IN THE ENVIRONMENT, NOT ONLY ON THE SOURCE	M-279; M-280	P-269; P-270	M-279: Sparsity + measurement geometry; M-280: Sparse signal class	P-269: Structured environment; P-270: Density-of-states engineering	passive inference/diagnostic	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
169	5.113016607931657	IM-206	IM-383	M	P	0.010846116042601217	0.0	0.0	INFER LONG-TIME BEHAVIOR FROM TRANSFORM BEHAVIOR NEAR A BOUNDARY/LOW FREQUENCY	A SYSTEM CAN ENTER A LESS-STABLE INTERMEDIATE FIRST BECAUSE ITS ACCESS BARRIER IS LOWER THAN THE DIRECT PATH TO THE GLOBAL BEST STATE	M-125; M-126	P-357	M-125: Regularity assumptions; M-126: Summability structure	P-357:Competing kinetic barriers	passive inference/diagnostic	bound;local	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
170	5.112926584879634	IM-212	IM-292	S	P	0.048996929067126736	0.0	0.0	SUBTRACT THE PREDICTABLE PART OF AN OBSERVATION STREAM TO ISOLATE NEW INFORMATION	ELIMINATING HIDDEN DYNAMIC VARIABLES CAN TURN A MARKOV/LOCAL SYSTEM INTO MEMORY + COLORED NOISE	S-105; S-120	P-105; P-106; P-107	S-105: Correct conditional model; S-120: Predictable intensity	P-105:Projection formalism | P-106:Chosen relevant subspace | P-107:Exact projected dynamics	passive inference/diagnostic	none-explicit	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
171	5.109531867041702	IM-123	IM-158	S	M;P	0.048741672373603356	0.0	0.0	GUARANTEE RELATIVE TO DATA-GENERATING SYMMETRY; WHEN SYMMETRY BREAKS GUARANTEE MAY NOT TRAVEL	ABSORPTION CHANGES THE STATE SPACE: AFTER ENTRY, ORDINARY RETURN/ERGODIC LOGIC NO LONGER APPLIES	S-090; S-148; S-998	M-148; P-141	S-090:Exchangeability | S-148:Exchangeability under null | S-998:Distribution shift	M-148:Absorbing dynamics | P-141:Local birth-death	mechanism/structural	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
172	5.10932940461167	IM-225	IM-107	M	S	0.01047433854553291	0.0	0.0	DEPENDENT SEQUENTIAL DATA CAN STILL HAVE SHARP DEVIATION GUARANTEES IF SURPRISES AND PREDICTABLE VARIANCE ARE CONTROLLED	WHEN DATA DO NOT POINT-IDENTIFY, CORRECT ANSWER MAY BE LARGE/DISCONNECTED/UNBOUNDED SET	M-311; M-313	S-131; S-136; S-447	M-311:Martingale difference structure | M-313:Martingale variance process	S-131:Weak assumptions | S-136:Partial identification | S-447:Weak/nonidentification	active control/decision	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
173	5.1090605011602594	IM-311	IM-362	S	E	0.02454076305156989	0.0	0.0	MANY SIGNALS CAN BE INDIVIDUALLY UNDETECTABLE YET COLLECTIVELY DETECTABLE THROUGH A SMALL GLOBAL DISTORTION OF NULL	WHEN PAYOFF DEPENDS ON WHAT OTHERS EXPECT, HIGHER-ORDER BELIEFS CAN DOMINATE FUNDAMENTAL VALUE	S-174	E-098	S-174:Rare/weak regime	E-098:Higher-order beliefs	passive inference/diagnostic	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
174	5.107451548886998	IM-280	IM-317	S	M	0.059662508602322833	0.0	0.0	UNCERTAINTY WIDTH ITSELF CAN BE A FEEDBACK CONTROL VARIABLE USED TO RESTORE A COVERAGE TARGET	A LOCAL GROWTH INEQUALITY CAN GIVE A GLOBAL FINITE-HORIZON ERROR ENVELOPE	S-390	M-109	S-390:Online feedback	M-109:Integral/differential bound	active control/decision	none-explicit	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
175	5.104836100929291	IM-140	IM-247	P	M	0.0558181309318709	0.07142857142857142	0.0	A CONSERVED/ACCUMULATING BURDEN CAN SELF-QUENCH GROWTH UNLESS A BOUNDARY EXPORT CHANNEL REMOVES IT	BOUNDARY INFLUENCE IS SET BY DYNAMICAL/GEOMETRIC ACCESSIBILITY, NOT RAW BOUNDARY SIZE	P-796; P-798	M-645; M-648	P-796:High conductivity | P-798:Open boundaries	M-645:Domain geometry | M-648:Fine boundary geometry	mechanism/structural	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
176	5.10433648479861	IM-206	IM-344	M	S	0.02412441166859887	0.0	0.0	INFER LONG-TIME BEHAVIOR FROM TRANSFORM BEHAVIOR NEAR A BOUNDARY/LOW FREQUENCY	WITHIN-UNIT COMPARISONS CAN REMOVE TIME-INVARIANT UNIT-LEVEL CONFOUNDING	M-125; M-126	S-315; S-316	M-125: Regularity assumptions; M-126: Summability structure	S-315:Transient exposure/effect | S-316:Event-dependent observation assumptions	passive inference/diagnostic	bound;local	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
177	5.104269996860888	IM-181	IM-010	M	E;P	0.009961712304015014	0.0	0.0	INTERROGATE AN INACCESSIBLE INTERIOR THROUGH CONTROLLED BOUNDARY INPUTS AND BOUNDARY RESPONSES	PHYSICAL TOPOLOGY / POTENTIAL TOPOLOGY / CURRENTLY USABLE TOPOLOGY	M-431; M-432	P-1000; P-999; P-990; P-991; E-916; P-776	M-431: PDE boundary access; M-432: Elliptic PDE	P-1000:State-dependent connectivity | P-999:Geometry + finite coupling | P-990:Asymmetric recovery/coupling | P-991:Propagation threshold | E-916:Heterogeneous banks | P-776:Transport accessibility	active control/decision	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
178	5.104041703623814	IM-357	IM-334	E	S	0.059414350135495085	0.0	0.0	PUBLIC ACTIONS CAN ACCUMULATE UNTIL A NEW AGENT RATIONALLY IGNORES ITS OWN PRIVATE SIGNAL	AN ACTION CAN HAVE TWO VALUES AT ONCE: CURRENT PAYOFF AND INFORMATION ABOUT FUTURE PAYOFFS	E-099	S-042; S-043; S-044	E-099:Sequential social learning	S-042:Reward feedback | S-043:Bayesian model | S-044:Concentration assumptions	active control/decision	none-explicit	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
179	5.102814878525729	IM-325	IM-311	M	S	0.009813737374153595	0.0	0.0	MONOTONE POLICY RESPONSE CAN BE CERTIFIED FROM COMPLEMENTARITY/ORDER STRUCTURE WITHOUT RESOLVING EVERY PARAMETER VALUE	MANY SIGNALS CAN BE INDIVIDUALLY UNDETECTABLE YET COLLECTIVELY DETECTABLE THROUGH A SMALL GLOBAL DISTORTION OF NULL	M-866; M-867; M-869; M-874; M-880	S-174	M-866:Complementary coordinates | M-867:Ordered action × parameter | M-869:Lattice optimization | M-874:Set-valued optimization | M-880:Nondifferentiable/discrete optimization	S-174:Rare/weak regime	active control/decision	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
180	5.102479527189754	IM-225	IM-305	M	P	0.009779600069960653	0.0	0.0	DEPENDENT SEQUENTIAL DATA CAN STILL HAVE SHARP DEVIATION GUARANTEES IF SURPRISES AND PREDICTABLE VARIANCE ARE CONTROLLED	COST OF MAINTAINING A NONEQUILIBRIUM STATE AND COST OF MOVING BETWEEN STATES ARE DIFFERENT ACCOUNTS	M-311; M-313	P-128; P-129	M-311:Martingale difference structure | M-313:Martingale variance process	P-128:NESS transitions | P-129:Driven steady state	active control/decision	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
181	5.101995431283245	IM-311	IM-376	S	P	0.009730298347312006	0.0	0.0	MANY SIGNALS CAN BE INDIVIDUALLY UNDETECTABLE YET COLLECTIVELY DETECTABLE THROUGH A SMALL GLOBAL DISTORTION OF NULL	LOCALLY STABLE REACTION DYNAMICS CAN BECOME SPATIALLY UNSTABLE SOLELY BECAUSE COMPONENTS DIFFUSE AT DIFFERENT RATES	S-174	P-090	S-174:Rare/weak regime	P-090:Reaction-diffusion coupling	passive inference/diagnostic	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
182	5.101796584285795	IM-221	IM-346	P	S	0.07735203032342287	0.0	0.0	ABANDON EXTREME SLOW TRAJECTORIES AND RESTART; MEAN COMPLETION CAN IMPROVE EVEN THOUGH WORK IS DISCARDED	BLOCKWISE ROBUST AGGREGATION CAN CONTROL HEAVY TAILS WITHOUT TRUSTING THE GLOBAL MEAN	P-131	S-141; S-142	P-131:Heavy-tail/variable completion time	S-141:Heavy-tail robustness | S-142:Moment assumptions	active control/decision	none-explicit	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
183	5.100370860040952	IM-181	IM-361	M	E	0.02377373076943113	0.0	0.0	INTERROGATE AN INACCESSIBLE INTERIOR THROUGH CONTROLLED BOUNDARY INPUTS AND BOUNDARY RESPONSES	VOLUNTARY VERIFIABLE DISCLOSURE CAN UNRAVEL RECURSIVELY FROM THE BEST TYPE DOWNWARD	M-431; M-432	E-410	M-431: PDE boundary access; M-432: Elliptic PDE	E-410:Ordered types + verifiable info	active control/decision	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
184	5.099196848560337	IM-181	IM-359	M	E	0.009444750578401839	0.0	0.0	INTERROGATE AN INACCESSIBLE INTERIOR THROUGH CONTROLLED BOUNDARY INPUTS AND BOUNDARY RESPONSES	CONTROL THE INFORMATION STRUCTURE RATHER THAN THE STATE TO CHANGE ANOTHER DECISION-MAKER'S ACTION	M-431; M-432	E-401	M-431: PDE boundary access; M-432: Elliptic PDE	E-401:Sender commitment to information structure	active control/decision	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
185	5.098768275928814	IM-206	IM-333	M	S	0.02363170745914055	0.0	0.0	INFER LONG-TIME BEHAVIOR FROM TRANSFORM BEHAVIOR NEAR A BOUNDARY/LOW FREQUENCY	A HARD ASSIGNMENT THRESHOLD CAN CREATE A LOCAL COMPARISON THAT IS MUCH CLEANER THAN THE GLOBAL POPULATION	M-125; M-126	S-029	M-125: Regularity assumptions; M-126: Summability structure	S-029:Continuity/no precise manipulation near cutoff	passive inference/diagnostic	bound;local	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
186	5.097326726800467	IM-325	IM-306	M	P	0.009253427538082337	0.0	0.0	MONOTONE POLICY RESPONSE CAN BE CERTIFIED FROM COMPLEMENTARITY/ORDER STRUCTURE WITHOUT RESOLVING EVERY PARAMETER VALUE	CLOSER IN ONE OBSERVED SCALAR DOES NOT IMPLY FASTER RELAXATION WHEN HIDDEN MODES HAVE DIFFERENT WEIGHTS	M-866; M-867; M-869; M-874; M-880	P-137; P-138	M-866:Complementary coordinates | M-867:Ordered action × parameter | M-869:Lattice optimization | M-874:Set-valued optimization | M-880:Nondifferentiable/discrete optimization	P-137:Multiple relaxation modes | P-138:Hidden relaxation modes	active control/decision	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
187	5.096256591188663	IM-181	IM-091	M	S	0.009143762449089994	0.0	0.0	INTERROGATE AN INACCESSIBLE INTERIOR THROUGH CONTROLLED BOUNDARY INPUTS AND BOUNDARY RESPONSES	PATH-SPECIFIC EFFECT MAY BE UNIDENTIFIABLE BECAUSE AN INTERMEDIATE WOULD NEED INCOMPATIBLE STATES	M-431; M-432	S-652; S-653	M-431: PDE boundary access; M-432: Elliptic PDE	S-652:Causal DAG | S-653:Conflicting path assignments	active control/decision	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
188	5.095663179785466	IM-181	IM-107	M	S	0.00908289276826928	0.0	0.0	INTERROGATE AN INACCESSIBLE INTERIOR THROUGH CONTROLLED BOUNDARY INPUTS AND BOUNDARY RESPONSES	WHEN DATA DO NOT POINT-IDENTIFY, CORRECT ANSWER MAY BE LARGE/DISCONNECTED/UNBOUNDED SET	M-431; M-432	S-131; S-136; S-447	M-431: PDE boundary access; M-432: Elliptic PDE	S-131:Weak assumptions | S-136:Partial identification | S-447:Weak/nonidentification	active control/decision	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
189	5.095052079193005	IM-325	IM-339	M	S	0.009020165070639477	0.0	0.0	MONOTONE POLICY RESPONSE CAN BE CERTIFIED FROM COMPLEMENTARITY/ORDER STRUCTURE WITHOUT RESOLVING EVERY PARAMETER VALUE	A SCORE CAN MAKE HONEST PROBABILITY REPORTING OPTIMAL	M-866; M-867; M-869; M-874; M-880	S-159	M-866:Complementary coordinates | M-867:Ordered action × parameter | M-869:Lattice optimization | M-874:Set-valued optimization | M-880:Nondifferentiable/discrete optimization	S-159:Probabilistic forecasts	active control/decision	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
190	5.094649302771831	IM-225	IM-211	M	S	0.008978797042365585	0.0	0.0	DEPENDENT SEQUENTIAL DATA CAN STILL HAVE SHARP DEVIATION GUARANTEES IF SURPRISES AND PREDICTABLE VARIANCE ARE CONTROLLED	DON'T COMMIT TO ONE DYNAMICAL MODEL TOO EARLY; CARRY A MODEL BANK AND UPDATE MODEL PROBABILITIES	M-311; M-313	S-110	M-311:Martingale difference structure | M-313:Martingale variance process	S-110: Finite model bank	active control/decision	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
191	5.094597815935418	IM-127	IM-044	S	E;P	0.04761545689146624	0.0	0.0	WHEN TWO ACTIONS ALMOST EQUALLY GOOD, ESTIMATED BEST ACTION CAN BE UNSTABLE EVEN IF VALUE IS STABLE	SAME AGGREGATE AMOUNT ≠ SAME FUNCTIONAL STATE	S-738	P-780; E-738; E-916	S-738:Near-zero treatment contrast	P-780:Strong evolving heterogeneity | E-738:Heterogeneous vintages | E-916:Heterogeneous banks	active control/decision	none-explicit	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
192	5.093824172476243	IM-314	IM-237	M	S	0.05408781290126825	0.0625	0.0	NONLINEAR STATE DYNAMICS CAN BECOME LINEAR IN A LIFTED OBSERVABLE SPACE	A HUGE COUPLED ESTIMATION ALGORITHM CAN HAVE LOW-DIMENSIONAL ERROR DYNAMICS IN THE RIGHT RANDOM REGIME	M-401	S-913	M-401:Deterministic dynamics + observable space	S-913:AMP asymptotics	passive inference/diagnostic	local	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
193	5.093729412476591	IM-249	IM-335	M	S	0.008884245427809613	0.0	0.0	REPLACE AN INACCESSIBLE INTERIOR SOURCE BY A BOUNDARY-EQUIVALENT SOURCE THAT PRESERVES EXTERNAL OBSERVABLES	MEASUREMENT LOCATIONS SHOULD BE CHOSEN TO SHAPE THE INFORMATION GEOMETRY FOR THE TARGET	M-655	S-048; S-049; S-050	M-655:Potential equivalence	S-048:Local/model-based design | S-049:Information-matrix criterion | S-050:Target functional specified	passive inference/diagnostic	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
194	5.093500437292784	IM-206	IM-359	M	E	0.008860694383187638	0.0	0.0	INFER LONG-TIME BEHAVIOR FROM TRANSFORM BEHAVIOR NEAR A BOUNDARY/LOW FREQUENCY	CONTROL THE INFORMATION STRUCTURE RATHER THAN THE STATE TO CHANGE ANOTHER DECISION-MAKER'S ACTION	M-125; M-126	E-401	M-125: Regularity assumptions; M-126: Summability structure	E-401:Sender commitment to information structure	passive inference/diagnostic	bound;local	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
