prefilter_rank	prefilter_score	donor_im	target_im	donor_domain	target_domain	cosine	primitive_jaccard	source_concept_jaccard	donor_primitive	target_primitive	donor_sources	target_sources	donor_shell	target_shell	donor_role	donor_guarantee	screen_reason	manual_status	manual_note	value_first_status	value_first_note
36	5.337945888520531	IM-325	IM-078	M	P	0.0349435714896082	0.0	0.0555555555555555	MONOTONE POLICY RESPONSE CAN BE CERTIFIED FROM COMPLEMENTARITY/ORDER STRUCTURE WITHOUT RESOLVING EVERY PARAMETER VALUE	STATE DETERIORATES → NEW CONSTRAINTS ACTIVATE → FREEDOM FALLS → FURTHER DETERIORATION	M-866; M-867; M-869; M-874; M-880	P-680; P-880	M-866:Complementary coordinates | M-867:Ordered action × parameter | M-869:Lattice optimization | M-874:Set-valued optimization | M-880:Nondifferentiable/discrete optimization	P-680:Dense particulate system | P-880:Coupled degradation	active control/decision	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty	HOLD_WEAK	Monotone-order certificates could bound constraint-activation cascades, but receiving control law is unspecified.	HOLD_WEAK	Previous status retained unless maturity/prior-art was the only reason for demotion.
37	5.336630056266605	IM-336	IM-201	S	M	0.065398993630104	0.0	0.0	THE KNOWN RANDOMIZATION MECHANISM CAN ITSELF GENERATE AN EXACT REFERENCE DISTRIBUTION	CONDITIONING ON A RARE FUTURE EVENT CREATES A DIFFERENT EFFECTIVE PATH DYNAMICS	S-149	M-149	S-149:Known randomization	M-149: Positive harmonic function	mechanism/structural	certificate/exact;probabilistic	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty	QUARANTINE_WEAK_BRIDGE	Randomization reference law and rare-future conditioning are distinct probability changes; no clean composition yet.	QUARANTINE_WEAK_BRIDGE	Previous status retained unless maturity/prior-art was the only reason for demotion.
38	5.333311376830004	IM-206	IM-222	M	P	0.0309025814932798	0.0	0.0	INFER LONG-TIME BEHAVIOR FROM TRANSFORM BEHAVIOR NEAR A BOUNDARY/LOW FREQUENCY	RECOVERY TIME CAN DIVERGE BEFORE THE STATE ITSELF VISIBLY COLLAPSES	M-125; M-126	P-119; P-120	M-125: Regularity assumptions; M-126: Summability structure	P-119:Near bifurcation/criticality | P-120:Specific transition classes	passive inference/diagnostic	bound;local	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty	DEMOTE_PRIOR_ART	Critical slowing down already has spectral/low-frequency early-warning formulations.	REOPEN_HIGH_VALUE_APPLIED	Critical-slowing early warning can prevent high-consequence failures; value depends on false-alarm robustness.
39	5.3310910562959775	IM-314	IM-359	M	E	0.0709443398088337	0.0588235294117647	0.0	NONLINEAR STATE DYNAMICS CAN BECOME LINEAR IN A LIFTED OBSERVABLE SPACE	CONTROL THE INFORMATION STRUCTURE RATHER THAN THE STATE TO CHANGE ANOTHER DECISION-MAKER'S ACTION	M-401	E-401	M-401:Deterministic dynamics + observable space	E-401:Sender commitment to information structure	passive inference/diagnostic	local	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty	QUARANTINE_WEAK_BRIDGE	Koopman lifting and strategic information design do not combine without an explicit dynamic mechanism-design model.	QUARANTINE_WEAK_BRIDGE	Previous status retained unless maturity/prior-art was the only reason for demotion.
40	5.3310910562959775	IM-359	IM-314	E	M	0.0709443398088337	0.0588235294117647	0.0	CONTROL THE INFORMATION STRUCTURE RATHER THAN THE STATE TO CHANGE ANOTHER DECISION-MAKER'S ACTION	NONLINEAR STATE DYNAMICS CAN BECOME LINEAR IN A LIFTED OBSERVABLE SPACE	E-401	M-401	E-401:Sender commitment to information structure	M-401:Deterministic dynamics + observable space	information/measurement control	none-explicit	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty	QUARANTINE_WEAK_BRIDGE	Reverse of rank 39.	QUARANTINE_WEAK_BRIDGE	Previous status retained unless maturity/prior-art was the only reason for demotion.
41	5.329456963193083	IM-271	IM-314	S	M	0.0711981427730334	0.0625	0.0	RESIDUAL DEPENDENCE AFTER CONDITIONING ON LATENT STATE IS EVIDENCE THE STATE REPRESENTATION IS INCOMPLETE	NONLINEAR STATE DYNAMICS CAN BECOME LINEAR IN A LIFTED OBSERVABLE SPACE	S-332; S-855	M-401	S-332:Latent-variable model | S-855:Violated local independence	M-401:Deterministic dynamics + observable space	mechanism/structural	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty	DEMOTE_EXISTING_CORE	Residual-dependence closure diagnostics plus lifting overlap ClosureFinder/ResidualClosureDiagnostic.	DEMOTE_EXISTING_CORE	Previous status retained unless maturity/prior-art was the only reason for demotion.
42	5.329456963193083	IM-314	IM-271	M	S	0.0711981427730334	0.0625	0.0	NONLINEAR STATE DYNAMICS CAN BECOME LINEAR IN A LIFTED OBSERVABLE SPACE	RESIDUAL DEPENDENCE AFTER CONDITIONING ON LATENT STATE IS EVIDENCE THE STATE REPRESENTATION IS INCOMPLETE	M-401	S-332; S-855	M-401:Deterministic dynamics + observable space	S-332:Latent-variable model | S-855:Violated local independence	passive inference/diagnostic	local	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty	DEMOTE_EXISTING_CORE	Reverse of rank 41.	DEMOTE_EXISTING_CORE	Previous status retained unless maturity/prior-art was the only reason for demotion.
43	5.3241956234509855	IM-203	IM-284	M	P	0.0708180409780631	0.0625	0.0	PAIRWISE DEPENDENCE CAN VANISH IN A LARGE POPULATION WHILE COLLECTIVE MEAN-FIELD INTERACTION REMAINS	FAILURE OF LONG-RANGE PROPAGATION DOES NOT MEAN THE FIELD/INFLUENCE VANISHES LOCALLY	M-151; M-152	P-542	M-151: Weak symmetric interaction; M-152: Mean-field scaling	P-542:Below-cutoff mode	active control/decision	none-explicit	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty	HOLD_DEEP_RESEARCH	Collective mean-field dependence plus local-but-not-long-range influence suggests a two-scale topology, but application and observable need specification.	HOLD_HIGH_UPSIDE	Two-scale local/global influence topology may matter in infrastructure/contagion monitoring; needs explicit observable/use case.
44	5.320961048136225	IM-196	IM-237	M	S	0.0298665083164216	0.0	0.0	RECOVERY CAN HAVE A SHARP COMPLEXITY–MEASUREMENT GEOMETRY BOUNDARY	A HUGE COUPLED ESTIMATION ALGORITHM CAN HAVE LOW-DIMENSIONAL ERROR DYNAMICS IN THE RIGHT RANDOM REGIME	M-279; M-280	S-913	M-279: Sparsity + measurement geometry; M-280: Sparse signal class	S-913:AMP asymptotics	passive inference/diagnostic	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty	DEMOTE_DIRECT_THEORY	Compressed-sensing phase transition and AMP/state-evolution are native high-dimensional inference theory.	DEMOTE_DIRECT_THEORY	Previous status retained unless maturity/prior-art was the only reason for demotion.
45	5.31344134652684	IM-164	IM-053	P	M	0.1041260493870144	0.0588235294117647	0.0	COARSE-GRAINING CAN CREATE A VALID EFFECTIVE LAW ONLY AFTER HIDDEN FAST VARIABLES HAVE RELAXED/MIXED	FORBIDDEN/UNAVAILABLE COARSE STATE CAN BE REALIZED BY FAST OR RANDOM MICRO-MIXTURE	P-108; P-111; P-030	M-834; M-838	P-108: Time-scale separation; P-111: Fast periodic/ergodic motion; P-030: Scale separation/controlled approximation	M-834:Fine-scale mixtures | M-838:Scale separation	mechanism/structural	none-explicit	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty	DEMOTE_DIRECT_THEORY	Adiabatic elimination/effective laws and micro-mixture relaxation are standard multiscale/homogenization territory.	DEMOTE_DIRECT_THEORY	Previous status retained unless maturity/prior-art was the only reason for demotion.
46	5.312009994278906	IM-249	IM-010	M	E;P	0.029110401890822	0.0	0.0	REPLACE AN INACCESSIBLE INTERIOR SOURCE BY A BOUNDARY-EQUIVALENT SOURCE THAT PRESERVES EXTERNAL OBSERVABLES	PHYSICAL TOPOLOGY / POTENTIAL TOPOLOGY / CURRENTLY USABLE TOPOLOGY	M-655	P-1000; P-999; P-990; P-991; E-916; P-776	M-655:Potential equivalence	P-1000:State-dependent connectivity | P-999:Geometry + finite coupling | P-990:Asymmetric recovery/coupling | P-991:Propagation threshold | E-916:Heterogeneous banks | P-776:Transport accessibility	passive inference/diagnostic	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty	HOLD_WEAK	Boundary-equivalent source representation may refine potential-versus-usable topology, but benchmark target not yet clear.	HOLD_WEAK	Previous status retained unless maturity/prior-art was the only reason for demotion.
47	5.301587225086895	IM-206	IM-088	M	P	0.0408961053026807	0.1111111111111111	0.0	INFER LONG-TIME BEHAVIOR FROM TRANSFORM BEHAVIOR NEAR A BOUNDARY/LOW FREQUENCY	BOUNDARY IS NOT FIXED; STATE INCLUDES WHERE BOUNDARY IS	M-125; M-126	P-355	M-125: Regularity assumptions; M-126: Summability structure	P-355:Moving phase boundary	passive inference/diagnostic	bound;local	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty	DEMOTE_DUPLICATE	Near-duplicate of rank 21.	DEMOTE_DUPLICATE	Previous status retained unless maturity/prior-art was the only reason for demotion.
48	5.299492493614262	IM-326	IM-335	M	S	0.0762129460153847	0.1333333333333333	0.0	GLOBAL TARGET ERROR SHOULD WEIGHT LOCAL RESIDUALS BY THEIR CONSEQUENCE FOR THE TARGET	MEASUREMENT LOCATIONS SHOULD BE CHOSEN TO SHAPE THE INFORMATION GEOMETRY FOR THE TARGET	M-255	S-048; S-049; S-050	M-255:Quantity of interest	S-048:Local/model-based design | S-049:Information-matrix criterion | S-050:Target functional specified	mechanism/structural	certificate/exact;local	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty	DEMOTE_PRIOR_ART	Adjoint/QoI-weighted residuals feeding sensor placement are established goal-oriented OED.	REOPEN_HIGH_VALUE_APPLIED	Goal-oriented sensor placement can reduce instrumentation cost and improve high-consequence detection.
49	5.298175139583835	IM-227	IM-303	M	P	0.062618140833248	0.0	0.0	ORDINARY CLOCK TIME AND ACCUMULATED CONTACT/VISIT TIME AT A BOUNDARY ARE DIFFERENT STATE VARIABLES	A MACRO TRANSPORT COEFFICIENT CAN BE RECOVERED FROM TIME-INTEGRATED MEMORY OF MICROSCOPIC SPONTANEOUS CURRENTS	M-317	P-104	M-317:Continuous semimartingale	P-104:Equilibrium statistical mechanics	mechanism/structural	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty	QUARANTINE_WEAK_BRIDGE	Boundary contact time and Green-Kubo/time-integrated transport have no clear missing-operator composition.	QUARANTINE_WEAK_BRIDGE	Previous status retained unless maturity/prior-art was the only reason for demotion.
50	5.295323769601536	IM-148	IM-278	P	M	0.0624116176001164	0.0	0.0	A VARIABLE CAN BE IRRELEVANT FOR THE MAIN LIMIT YET ESSENTIAL FOR A PARTICULAR OBSERVABLE	ALTERNATING LOCAL CORRECTIONS MAY NEED A MEMORY OF PREVIOUS CORRECTION ERROR TO CONVERGE TO RIGHT GLOBAL OBJECT	P-159	M-159	P-159:RG structure	M-159:Convex sets	passive inference/diagnostic	none-explicit	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty	QUARANTINE_WEAK_BRIDGE	Dangerous-irrelevant-variable asymptotics and Dykstra correction memory are semantically unrelated for product transfer.	QUARANTINE_WEAK_BRIDGE	Previous status retained unless maturity/prior-art was the only reason for demotion.
