kernel_id	class_name	base_name	origin	core_v2_role	evidence_state	adoption_state	production_ready	retro50_products	retro50_relation_type	retro50_confidence	retro50_note
LCB-K086	TestingWealthControllerV0	TestingWealthController	r49_executable_library	ACTION_OR_OPTIMIZATION_KERNEL	MECHANISM_BENCHMARKED	ADOPT_CAPABILITY_NOT_PRODUCTION_CLAIM	False	none	NO_HIGH_CONFIDENCE_MATCH	N/A	new capability surface relative to the current 50-product registry
LCB-K087	DecisionSufficientCompressorV0	DecisionSufficientCompressor	r49_executable_library	STATE_OR_TRANSFORMATION_KERNEL	MECHANISM_BENCHMARKED	ADOPT_CAPABILITY_NOT_PRODUCTION_CLAIM	False	R039 DSBC	DIRECT_SURFACE_OVERLAP	HIGH	decision-regret-aware compression
LCB-K088	CandidateSetDecoderV0	CandidateSetDecoder	r49_executable_library	INFERENCE_OR_MEASUREMENT_KERNEL	MECHANISM_BENCHMARKED	ADOPT_CAPABILITY_NOT_PRODUCTION_CLAIM	False	none	NO_HIGH_CONFIDENCE_MATCH	N/A	new capability surface relative to the current 50-product registry
LCB-K089	SelectionAwareReferenceLawV0	SelectionAwareReferenceLaw	r49_executable_library	CAPABILITY_COMPONENT	MECHANISM_BENCHMARKED	ADOPT_CAPABILITY_NOT_PRODUCTION_CLAIM	False	R014 ACSA	DIRECT_COMPONENT	HIGH	post-selection inference layer
LCB-K090	ObservabilityCoveragePlannerV0	ObservabilityCoveragePlanner	r49_executable_library	ACTION_OR_OPTIMIZATION_KERNEL	MECHANISM_BENCHMARKED	ADOPT_CAPABILITY_NOT_PRODUCTION_CLAIM	False	R023 CORMA; R024 BRED; R042 PSCT	SUITE_COMPLEMENT	HIGH	sensor coverage, state discovery and reduction
LCB-K091	ReachAvoidViabilityPlannerV0	ReachAvoidViabilityPlanner	r49_executable_library	ACTION_OR_OPTIMIZATION_KERNEL	MECHANISM_BENCHMARKED	ADOPT_CAPABILITY_NOT_PRODUCTION_CLAIM	False	none	NO_HIGH_CONFIDENCE_MATCH	N/A	new capability surface relative to the current 50-product registry
LCB-R50-149		overlap-aware marginal allocation	r50_saved_results_no_executable_source_in_rescue	CAPABILITY_COMPONENT	SAVED_RESULT_REANALYZED_SOURCE_CODE_ABSENT	CONFIRMED_COMPONENT_STANDALONE_SHELL_OPEN	False	SharedCapacityAllocatorV0	COMPONENT_EXTENSION	MEDIUM	overlap-aware marginal value
LCB-R50-067		future-equivalence representative-state dynamic programming	r50_saved_results_no_executable_source_in_rescue	KERNEL_CANDIDATE	SAVED_RESULT_REANALYZED_SOURCE_CODE_ABSENT	CONFIRMED_KERNEL_EXTENSION_AND_STANDALONE_CANDIDATE	False	InterfaceWidthOptimizerV0; SafeProblemReducerV0	KERNEL_EXTENSION	MEDIUM	future-equivalent state compression
LCB-R50-039		constraint-preserving conditional fiber sampling	r50_saved_results_no_executable_source_in_rescue	KERNEL_CANDIDATE	SAVED_RESULT_REANALYZED_SOURCE_CODE_ABSENT	STANDALONE_KERNEL_CANDIDATE	False	none	NEW_SURFACE	N/A	conditional/fiber sampling
LCB-R50-137		renegotiation-aware commitment valuation	r50_saved_results_no_executable_source_in_rescue	KERNEL_CANDIDATE	SAVED_RESULT_REANALYZED_SOURCE_CODE_ABSENT	STANDALONE_KERNEL_CANDIDATE	False	R043 SRCD	RETRO50_COMPLEMENT	MEDIUM	renegotiation-aware commitment and incentive preflight
LCB-R50-138		projection/ironing into implementable monotone decision class	r50_saved_results_no_executable_source_in_rescue	KERNEL_CANDIDATE	SAVED_RESULT_REANALYZED_SOURCE_CODE_ABSENT	STANDALONE_KERNEL_CANDIDATE	False	R018 MCSC; R043 SRCD	RETRO50_COMPLEMENT	MEDIUM	implementability projection and contract/decision feasibility
