id	domain	source_concept	primitive	constraint_shell
M-450	Mathematics	Null-space property	Measurement’ın göremediği hiçbir direction sparse solution’ı daha ucuz başka solution’a çevirememeli	Compressed sensing
M-451	Mathematics	Restricted eigenvalue condition	High-dimensional inverse yalnız sparse directions’da yeterince nondegenerate olsa bile estimation mümkün olabilir	Sparse model class
M-452	Mathematics	Monotone dynamical system	Bir state başlangıçta diğerinden büyükse dynamics bu ordering’i korur	Order-preserving flow
M-453	Mathematics	Strong monotonicity	Başlangıç ordering’i zamanla strict hale gelip trajectories’i daha düzenli global behavior’a zorlayabilir	Cone order
M-454	Mathematics	Cooperative system	Bir variable artışı diğerlerinin growth rate’ini azaltmak yerine destekler	Nonnegative off-diagonal Jacobian
M-455	Mathematics	Competitive system	Variables bazı directions’da birbirlerinin growth’ını sistematik bastırır	Signed order structure
M-456	Mathematics	Comparison system	Zor nonlinear dynamics’i üst/alt simpler systems arasına sıkıştırıp bounds taşı	Order relation
M-457	Mathematics	Small-gain theorem	Birbirine feedback veren stable subsystems’in loop amplification’ı yeterince küçükse bütün system stable kalır	Input-output gains
M-458	Mathematics	Passivity	System aldığı energy’den fazlasını kendi başına üretmiyorsa feedback connection stability kazanabilir	Storage function
M-459	Mathematics	Dissipativity	Input-output behavior belirli supply budget’ını aşmıyorsa internal energy accounting ile global behavior bound edilir	Storage/supply rate
M-460	Mathematics	Integral quadratic constraint	Complex/unknown component’in exact equation’ı yerine input-output signals’ın sağlaması gereken aggregate inequality kullan	Robust control
M-461	Mathematics	Tightness	Probability mass’ın giderek sonsuza kaçmasını engelleyecek compact bölgeler bul	Probability measures
M-462	Mathematics	Prokhorov theorem	Probability laws tight ise içlerinden convergent subsequence çıkarabilirsin	Polish spaces
M-463	Mathematics	Weak convergence	Individual outcomes’ı eşleştirmek yerine bütün bounded-continuous tests’e verilen averages converge etsin	Distributional limit
M-464	Mathematics	Portmanteau theorem	Distribution convergence’i farklı observable/event inequalities üzerinden eşdeğer biçimlerde test et	Weak convergence
M-465	Mathematics	Skorokhod representation	Distribution’da converge eden random objects’i başka common probability space’de pathwise converge edecek kopyalar olarak kur	Appropriate metric spaces
M-466	Mathematics	Characteristic function	Distribution’ın tamamını oscillatory test functions’a verdiği responses ile kodla	Probability law
M-467	Mathematics	Lévy continuity theorem	Characteristic responses converge ediyorsa uygun conditions altında distributions da converge eder	Continuity at origin
M-468	Mathematics	Moment determinacy	Bütün moments’i bilmek distribution’ı her zaman unique belirlemez; hangi conditions altında belirlediğini ayır	Tail/growth conditions
M-469	Mathematics	Convex order	İki distributions aynı mean taşısa bile hangisi bütün convex losses için daha risky?	Integrability + equal means
M-470	Mathematics	Strassen coupling theorem	Distribution order relation varsa bunu pairwise random variables arasında pathwise relation taşıyan coupling olarak realize et	Stochastic/convex order
M-471	Mathematics	Martingale transport	Mass’ı taşı ama her başlangıç noktasından giden destinations’ın average’ı başlangıç noktasında kalsın	Martingale constraint
M-472	Mathematics	Wasserstein distributional robustness	True distribution tek estimate değil; estimate çevresindeki transport-distance ball içinde herhangi bir law olabilir	Ambiguity set
M-473	Mathematics	Worst-case expectation over measures	Parameter’ın worst case’ini değil, bütün possible probability laws’ın worst expected outcome’unu optimize et	Distributional ambiguity
M-474	Mathematics	Exchangeability	Observation sırasını değiştirince joint law değişmiyorsa labels/order intrinsic bilgi taşımıyor	Permutation symmetry
M-475	Mathematics	de Finetti mechanism	Sonsuz exchangeable binary sequence, hidden probability verilince independent observations mixture’ı gibi temsil edilebilir	Infinite exchangeability
M-476	Mathematics	Aldous–Hoover representation	Exchangeable network/array structure global + node + pair-specific latent randomness katmanlarına ayrılabilir	Exchangeable arrays
M-477	Mathematics	Hewitt–Savage zero–one law	Sonsuz IID sequence’de finite reorderings’dan etkilenmeyen event ya almost impossible ya almost certain olur	IID symmetry
M-478	Mathematics	Tail σ-field	Her finite başlangıcı silsen bile değişmeyen “sonsuz gelecek” bilgilerini ayrı information set olarak tanımla	Infinite sequences
M-479	Mathematics	Kolmogorov zero–one law	Independent sequence’in tail events’inin probability’si ara değer taşımaz: 0 veya 1	Independence
M-480	Mathematics	Martingale convergence	Bilgi arttıkça conditional estimates sürekli update olur ama boundedness/integrability altında eventually stable random limit’e yaklaşabilir	Increasing information filtration
M-481	Mathematics	Simplicial complex	Karmaşık shape’i points, edges, triangles ve daha yüksek basit pieces’i birbirine yapıştırarak temsil et	Combinatorial topology
M-482	Mathematics	Boundary operator	Bir parçanın “kenarlarını” çıkar; sonra kenarın da kenarını alınca hiçbir şey kalmaz	Chain complex
M-483	Mathematics	Homology	Closed structure var mı ve bu structure gerçekten bir şeyin boundary’si mi diye ayır	Topological space/complex
M-484	Mathematics	Cohomology	Holes’ı doğrudan objects olarak değil, onları test eden globally consistent measurements üzerinden yakala	Dual chain structure
M-485	Mathematics	Euler characteristic	Points−edges+faces−… gibi alternating count, decomposition değişse bile global topology hakkında sabit bilgi taşıyabilir	Finite cell/simplicial decomposition
M-486	Mathematics	Mayer–Vietoris	Bütünü tek seferde çözme; iki parçayı ve overlap’lerini bilerek global holes’ı reconstruct et	Suitable cover
M-487	Mathematics	Nerve lemma	Birçok overlapping region’ın actual geometry’si yerine hangi subsets’in ortak kesiştiğini gösteren combinatorial nerve kullan	Good-cover conditions
M-488	Mathematics	Sheaf	Her local region’a bilgi koy ve overlapping regions’daki bilgilerin birbirleriyle nasıl uyumlu olması gerektiğini kaydet	Local-to-global structure
M-489	Mathematics	Local section	Global answer bilinmese bile küçük bir region içinde internally consistent answer taşı	Sheaf/local domain
M-490	Mathematics	Gluing axiom	Local answers overlap’lerde uyuşuyorsa onları tek global answer olarak birleştir	Exact compatibility
M-491	Mathematics	Sheaf obstruction	Her local piece ayrı ayrı çalışsa bile overlap consistency failures yüzünden global solution bulunamayabilir	Local compatibility network
M-492	Mathematics	Sheaf cohomology	Global solution’ın neden kurulamadığını local mismatch’lerin higher-order pattern’ıyla ölç	Derived local-to-global structure
M-493	Mathematics	Covering space	Karmaşık looping behavior’ı, local olarak aynı görünen ama globalde açılmış daha büyük space’de çöz	Topological covering
M-494	Mathematics	Fundamental group	Closed loops’un hangileri continuous olarak yok edilebilir, hangileri global obstruction taşıyor sınıflandır	Path-connected topology
M-495	Mathematics	Monodromy	Bir local solution’ı closed loop boyunca taşı; başlangıç noktasına döndüğünde solution değişmiş olabilir	Multivalued/covering structure
M-496	Mathematics	Obstruction theory	Bir partial construction’ı bir sonraki dimension’a extend etmeyi engelleyen explicit topological object var mı bul	CW/simplicial structures
M-497	Mathematics	Hodge decomposition	Bir flow/field’i gradient-like, circulating ve harmonic pieces’e ayır	Inner-product differential complex
M-498	Mathematics	Discrete Hodge decomposition	Network flow’unu source-to-sink, local cycles ve global harmonic circulation parçalarına ayır	Oriented graph/complex
M-499	Mathematics	Lefschetz fixed-point mechanism	Bir map space’in topology’si üzerinde enough nontrivial trace bırakıyorsa en az bir fixed point kaçınılmaz olabilir	Compact topological setting
M-500	Mathematics	Local-to-global consistency principle	Local constraints’ın hepsi doğru olsa bile global consistency ayrıca test edilmelidir	Overlap/gluing architecture
M-501	Mathematics	Category	Objects’in iç yapısından çok aralarındaki allowed transformations ve bunların nasıl birleştiğini taşı	Composition + identity
M-502	Mathematics	Morphism	“A’yı B’ye götüren admissible transformation”ı primitive relation olarak ele al	Category-specific structure preservation
M-503	Mathematics	Functor	Bir entire object-relation system’ini başka bir system’e çevirirken transformation composition’ını koru	Structure-preserving mapping
M-504	Mathematics	Natural transformation	İki farklı system-level translation arasında, her object için ayrı ama birbirleriyle uyumlu dönüşüm kur	Functor compatibility
M-505	Mathematics	Universal property	Object’i coordinates/formula ile değil, diğer bütün objects’le kurduğu unique mapping relation üzerinden tanımla	Categorical uniqueness
M-506	Mathematics	Categorical product	A ve B’yi aynı anda gören universal object kur; A ve B’ye projections taşı	Joint information object
M-507	Mathematics	Coproduct	A ve B’yi common object içine en serbest biçimde göm ve dışarıya maps’i universal biçimde birleştir	Universal combination
M-508	Mathematics	Pullback	İki object aynı third object’e map ediyorsa, aynı image’a giden compatible pairs’i seç	Consistency constraint
M-509	Mathematics	Pushout	İki object shared part taşıyorsa shared part’ı identify edip onları tek global object’e yapıştır	Quotient/gluing
M-510	Mathematics	Equalizer	İki transformation’ın aynı sonucu verdiği inputs’un en büyük structured subset’ini çıkar	Agreement set
M-511	Mathematics	Coequalizer	İki transformation tarafından aynı sayılması gereken outputs’u collapse ederek quotient oluştur	Identification
M-512	Mathematics	Limit	Bir whole diagram içindeki bütün compatibility constraints’i aynı anda sağlayan universal object kur	Diagram consistency
M-513	Mathematics	Colimit	Bir diagram’daki objects’i shared relations’ı preserve ederek tek aggregate object’e birleştir	Global gluing
M-514	Mathematics	Adjunction	Bir taraftaki “free construction” ile diğer taraftaki “constraint-respecting interpretation” arasında optimal translation relation kur	Paired functors
M-515	Mathematics	Unit–counit mechanism	Bir object’i başka representation’a götürüp geri getirdiğinde original ile reconstruction arasındaki canonical map’i izle	Adjunction
M-516	Mathematics	Monad	“Transform et → transformed world’de yeniden transform et → sonucu tek transformation’a collapse et” structure’ını paketle	Associative composition
M-517	Mathematics	Galois connection	Bir side’daki expansion ile diğer side’daki restriction birbirini order-reversing/adjoint biçimde determine etsin	Ordered sets
M-518	Mathematics	Closure operator	Bir set’e zorunlu consequences ekle; ikinci kez closure almak yeni hiçbir şey eklemesin	Extensive + monotone + idempotent
M-519	Mathematics	Knaster–Tarski fixed-point theorem	Monotone rule complete lattice üzerinde çalışıyorsa least ve greatest self-consistent solutions bulunur	Complete lattice
M-520	Mathematics	Birkhoff representation	Finite distributive lattice’i simpler irreducible ordered pieces’in down-set structure’ından yeniden kur	Finite distributive lattice
M-521	Mathematics	Polyhedron	Birçok linear inequality’nin aynı anda izin verdiği region’ı oluştur	Finite linear constraints
M-522	Mathematics	Polytope	Bounded polyhedron: feasible region sonsuza kaçamaz	Bounded linear geometry
M-523	Mathematics	Farkas lemma	Ya desired linear equation nonnegative combination’larla kurulabilir ya da bunun imkânsızlığını gösteren separating witness vardır	Linear alternatives
M-524	Mathematics	Alternative theorem	İki mutually exclusive systems’den biri mutlaka feasible; infeasibility boş sonuç değil certificate üretir	Linear/conic feasibility
M-525	Mathematics	KKT conditions	Optimum’da objective’i iyileştirecek feasible first-order direction kalmamalı; active constraints bunu balance eder	Differentiable constrained optimization
M-526	Mathematics	Constraint qualification	KKT gibi local certificates’in gerçekten geçerli olması için active constraints fazla degenerate olmamalı	Local constraint geometry
M-527	Mathematics	Slater condition	Convex inequalities’in hepsini strict biçimde sağlayan interior point varsa duality/pathologies önemli ölçüde temizlenir	Convex optimization
M-528	Mathematics	Strong duality	Primal optimum ile best dual certificate aynı value’ya ulaşır	Convexity + regularity
M-529	Mathematics	Recession cone	Feasible region hangi directions’da sonsuza kadar kaçabiliyor?	Convex set
M-530	Mathematics	Normal cone	Boundary point’te hangi external directions feasible region’a “destek” verir ve outward movement’ı engeller?	Convex geometry
M-531	Mathematics	Polyhedral normal fan	Her objective direction için hangi vertex/face’in optimum olduğunu direction-space regions’ına ayır	Polytope
M-532	Mathematics	Integral polyhedron	Continuous feasible region’ın extreme solutions’ı zaten integers ise integer constraint ayrıca çözümü zorlaştırmaz	Lattice-compatible polyhedron
M-533	Mathematics	Total unimodularity	Constraint matrix’in special determinant structure’ı integer right-hand side altında LP vertices’ini integer tutar	Integer matrix structure
M-534	Mathematics	Network matrix integrality	Flow-type constraint matrix’lerinin graph incidence structure’ı integer solutions’ı naturally koruyabilir	Directed network
M-535	Mathematics	Birkhoff–von Neumann decomposition	Doubly stochastic matrix’i permutation matrices’in weighted mixture’ı olarak parçala	Nonnegative row/column sums
M-536	Mathematics	Assignment polytope	Fractional-looking assignment relaxation’ın vertices’i aslında discrete one-to-one assignments olabilir	Bipartite matching
M-537	Mathematics	Transportation polytope	Sources ve destinations arasında flows seç; row/column totals sabit kalsın	Supply-demand conservation
M-538	Mathematics	Integer hull	Continuous feasible region içinden yalnız integer feasible points’in convex hull’unu çıkar	Integer optimization
M-539	Mathematics	Chvátal–Gomory cut	Integer solutions’ın hepsini koruyup fractional relaxation’ın bir parçasını kesen yeni inequality üret	Integer linear system
M-540	Mathematics	Branch-and-cut	Search tree ile discrete possibilities’i böl; aynı anda valid inequalities ile her node’daki feasible region’ı sıkılaştır	Integer optimization
M-541	Mathematics	Matroid intersection	İki ayrı “allowed independent set” rule’unu aynı anda sağlayan en büyük subset’i bul	Two matroids on same ground set
M-542	Mathematics	Matroid union	Bir seti birkaç bağımsız subsystem’e bölünebilir mi diye test et	Multiple matroids
M-543	Mathematics	Matroid partition	Elements’i minimum/allowed sayıda independent groups’a ayır	Combinatorial independence
M-544	Mathematics	Matroid parity	Elements pairs halinde gelir; yalnız bütün pair’i seçebilirsin ve selected elements independent kalmalı	Paired combinatorial choice
M-545	Mathematics	Polymatroid	Capacity yalnız tek elements’e değil bütün subsets’e diminishing-return rank rule’u ile atanır	Submodular rank function
M-546	Mathematics	Polymatroid base polytope	Total resource sabitken her subset’in alabileceği amount submodular capacity ile bounded olsun	Continuous allocation
M-547	Mathematics	Submodular base exchange	Bir allocation bir component’te fazla ise başka component’e transfer ederek feasibility korunabilir	Base-polytope geometry
M-548	Mathematics	Greedy optimization over polymatroid	Linear reward altında en değerli coordinates’e sırayla capacity ver; submodular constraints greedy solution’ı exact yapabilir	Monotone submodular capacity
M-549	Mathematics	Submodular flow	Edge-by-edge conservation yerine vertex subsets üzerindeki aggregate imbalance’a submodular limits koy	Network + submodular boundary
M-550	Mathematics	Polymatroidal flow	Node’un incident edges’i independent capacities değil; groups of edges ortak submodular capacity paylaşır	Network congestion structure
M-551	Mathematics	Matroid-constrained matching	Matching yap ama selected edges/items ayrıca independence rule’una da uysun	Matching + matroid
M-552	Mathematics	Gammoid	“Bu elements bağımsız mı?” sorusunu vertex-disjoint paths ile represent et	Directed graph reachability
M-553	Mathematics	Transversal matroid	Bir collection içinden distinct representatives seçilebilen subsets’i independence structure yap	Bipartite matching
M-554	Mathematics	Graphic matroid	Edge subset independent iff cycle oluşturmuyor	Graph
M-555	Mathematics	Cographic matroid	Graph cuts’ın dual independence structure’ını taşı	Graph duality
M-556	Mathematics	Greedoid	Feasible set’e elementler her sırada eklenemez; ama step-by-step accessible growth path vardır	Sequential feasibility
M-557	Mathematics	Antimatroid	Once-feasible additions future feasibility’yi bozmaz; knowledge/assembly process monotone büyür	Accessible union-closed system
M-558	Mathematics	Convex geometry / anti-exchange closure	Bir element closure’a girdiğinde symmetric replacement genellikle mümkün değildir; irreversible dependency order çıkar	Closure system
M-559	Mathematics	Exchange axiom	İki feasible structures farklı sizes taşırsa büyüğünden küçüğe bir element transfer ederek feasibility genişletilebilir	Matroid-like structure
M-560	Mathematics	Common-base feasibility	İki farklı constraint system aynı exact-size basis üzerinde buluşabiliyor mu test et	Intersection of base structures
M-561	Mathematics	Tree decomposition	Karmaşık graph’ı overlapping küçük vertex bags’e böl; her edge bir bag’de görülsün ve aynı vertex’i içeren bags connected kalsın	Graph decomposition
M-562	Mathematics	Treewidth	Graph’ın tree-like representation için gereken en büyük bag’in ne kadar büyük olması gerektiğini ölç	Combinatorial width
M-563	Mathematics	Path decomposition	Tree decomposition’ın decomposition graph’ını yalnız bir path olmaya zorla	Linearized decomposition
M-564	Mathematics	Pathwidth	Graph’ı sequential processing sırasında aynı anda kaç vertex’i “memory’de” tutmak gerektiğini ölç	Ordered graph processing
M-565	Mathematics	Graph minor	Edges sil, vertices sil veya edge contract et; complex graph’ın içinde simpler structural pattern saklı mı bak	Structure under contraction
M-566	Mathematics	Minor-closed property	Bir graph property simplification/minor alma altında kaybolmuyorsa family downward-stable’dır	Graph family
M-567	Mathematics	Excluded-minor mechanism	Büyük bir graph family’yi “şu finite forbidden structural patterns yok” diyerek characterize et	Minor-closed classes
M-568	Mathematics	Separator theorem	Az sayıda vertices çıkararak büyük graph’ı birbirinden ayrılmış daha küçük parçalar haline getir	Sparse/separable graphs
M-569	Mathematics	Chordal graph	Uzun cycle’ların hepsinde shortcut chord bulunsun; global cycles local cliques üzerinden parçalanabilsin	Undirected graph
M-570	Mathematics	Perfect elimination ordering	Vertices’i sırayla çıkarırken her vertex’in kalan neighbors’ı clique oluştursun	Chordal graphs
M-571	Mathematics	Chordal completion / triangulation	Nonchordal graph’a minimum/controlled extra edges ekleyip elimination-friendly hale getir	Graph fill-in
M-572	Mathematics	Minimum fill-in	Elimination kolaylaşsın diye mümkün olan en az artificial edge ekle	Sparse factorization
M-573	Mathematics	Clique tree	Chordal graph’ın maximal cliques’ini tree halinde bağla; aynı variable’ı taşıyan cliques connected olsun	Running-intersection property
M-574	Mathematics	Dynamic programming on treewidth	Global combinatorial problem’i small bags üzerinde solve et; yalnız boundary state’i bir sonraki bag’e taşı	Bounded treewidth
M-575	Mathematics	Branch decomposition	Graph elements’i binary tree’nin leaves’ine koy; her cut’ın iki taraf arasında ne kadar boundary information taşıdığını ölç	Connectivity decomposition
M-576	Mathematics	Branchwidth	En iyi branch decomposition altında maksimum boundary size’ı minimize et	Graph connectivity width
M-577	Mathematics	Gomory–Hu tree	Weighted undirected graph’taki bütün pairwise minimum-cut values’ını tek weighted tree içinde encode et	Undirected capacities
M-578	Mathematics	Cut-equivalent tree	Original graph’ın birçok edges’ini at; relevant pairwise cut values’ını simpler tree representation’da koru	Cut structure
M-579	Mathematics	Feedback vertex set	Birkaç vertices çıkararak bütün cycles’ı kır ve graph’ı forest/DAG-like structure’a indir	Cycle destruction
M-580	Mathematics	Block–cut tree	Graph’ı articulation points ve internally 2-connected blocks halinde tree structure’a ayır	Vertex-separation structure
M-581	Mathematics	Set-system discrepancy	Elements’i iki tarafa boya; hiçbir relevant subset bir tarafta aşırı yoğunlaşmasın	Family of subsets
M-582	Mathematics	Hereditary discrepancy	Balance yalnız full system’de değil, hangi subset’e restriction yaparsan yap kötüleşmesin	All induced subsystems
M-583	Mathematics	Vector discrepancy	±1 discrete coloring yerine vectors kullanarak constraints’i daha flexible balance et	Vector relaxation
M-584	Mathematics	Beck–Fiala mechanism	Her element yalnız az sayıda constraints’e giriyorsa bütün constraints aynı anda iyi balance edilebilir	Bounded incidence
M-585	Mathematics	Spencer discrepancy phenomenon	Çok fazla simultaneous constraints olsa bile naive random fluctuation’dan şaşırtıcı biçimde daha iyi global balance mümkün olabilir	High-dimensional set system
M-586	Mathematics	Partial coloring	Her adımda bütün variables’ı fix etme; büyük bir kısmını güvenle ±1’e sabitle, kalan zor kısmı recurse et	Iterative discrepancy minimization
M-587	Mathematics	ε-net	Bütün points’i saklama; sufficiently large her relevant region’a en az bir representative düşecek küçük subset seç	Range space
M-588	Mathematics	ε-approximation	Küçük sample, bütün relevant subsets’in population proportions’ını aynı anda approximately korusun	Uniform approximation
M-589	Mathematics	VC dimension	Bir hypothesis/range family kaç point üzerinde bütün possible label patterns’ı gerçekleştirebilir?	Combinatorial complexity
M-590	Mathematics	Shattering	Seçilmiş point setinde mümkün olan her binary subset pattern family tarafından realize edilebiliyorsa set shattered	Set family
M-591	Mathematics	Sauer–Shelah mechanism	VC dimension bounded ise realized label-pattern sayısı exponential değil polynomial-type büyür	Finite VC dimension
M-592	Mathematics	Growth function	$n$ points üzerinde family en fazla kaç farklı labeling/restriction oluşturabiliyor?	Combinatorial class
M-593	Mathematics	Covering number	Space’i radius-$\epsilon$ balls ile kaplamak için minimum kaç representative gerekiyor?	Metric space
M-594	Mathematics	Packing number	Birbirinden en az $\epsilon$ uzak kaç point aynı anda yerleştirilebilir?	Metric separation
M-595	Mathematics	Metric entropy	Required approximation resolution küçüldükçe kaç distinguishable region gerektiğini log covering number ile ölç	Metric complexity
M-596	Mathematics	Dudley entropy integral	Bir random process’in global fluctuation büyüklüğünü birçok resolution’daki covering complexity’yi integrate ederek bound et	Sub-Gaussian process
M-597	Mathematics	Chaining	Tek coarse approximation kullanma; coarse→fine approximations zinciri kurup her scale’daki küçük correction’ları topla	Multiscale metric structure
M-598	Mathematics	Generic chaining	Fixed dyadic net seçmek yerine process geometry’sine en uygun multiscale approximation tree’sini optimize et	Stochastic process metric
M-599	Mathematics	$\gamma_2$ functional	Bir metric space’in multiscale stochastic complexity’sini optimized chaining cost ile tek quantity’de özetle	Gaussian/sub-Gaussian geometry
M-600	Mathematics	Majorizing-measure mechanism	Gaussian-process supremum size’ı yalnız worst distance ile değil bütün metric space’in multiscale occupancy geometry’si belirler	Gaussian processes
M-601	Mathematics	Poisson point process geometry	Space’in farklı küçük bölgelerine independently random points serp; expected point count region size ile artsın	Homogeneous random space
M-602	Mathematics	Poisson–Voronoi tessellation	Her location’ı kendisine en yakın random seed’e ver; space random ownership cells’e bölünsün	Point-generated geometry
M-603	Mathematics	Poisson–Delaunay tessellation	Voronoi cells komşuysa seeds’i bağla; random point cloud’dan dual geometric network üret	Euclidean geometry
M-604	Mathematics	Nearest-neighbor graph	Her point’i kendisine en yakın başka point’e bağla	Metric point set
M-605	Mathematics	Random geometric graph	İki random point distance threshold’un altındaysa edge aç	Spatial proximity threshold
M-606	Mathematics	Continuum percolation	Random objects/disks overlap ederek large-scale connected component oluşturabilir	Spatial random coverage
M-607	Mathematics	Boolean model	Random seeds’e random shapes yapıştır; union geometry’nin coverage/connectivity’sini incele	Random grains
M-608	Mathematics	Germ–grain representation	Complex random material’ı “random centers + center başına random object” olarak kur	Spatial random structures
M-609	Mathematics	Contact distribution	Random location’dan nearest random object’e distance distribution’ını ölç	Random closed set
M-610	Mathematics	Empty-space function	Random chosen location çevresindeki ball ne kadar büyüyene kadar ilk point/object görülmüyor?	Stationary spatial process
M-611	Mathematics	Nearest-neighbor distance distribution	Typical observed point’in en yakın diğer point’e distance’ını ölç	Point-conditioned geometry
M-612	Mathematics	Voronoi cell adjacency	Physical distance yerine “aynı boundary’yi paylaşan ownership regions” üzerinden neighbors tanımla	Tessellation
M-613	Mathematics	Johnson–Mehl tessellation	Seeds farklı zamanlarda doğsun; territory yalnız spatial distance değil birth time + growth travel time ile belirlensin	Nucleation-growth geometry
M-614	Mathematics	Laguerre / power diagram	Seeds yalnız position değil size/weight taşısın; ownership weighted distance ile belirlensin	Weighted spatial partition
M-615	Mathematics	Centroidal Voronoi tessellation	Seeds’i kendi cells’inin mass center’ına taşıyarak partition’ı iteratively düzenle	Density-weighted geometry
M-616	Mathematics	Lloyd iteration	Partition oluştur → cell centers bul → seeds’i centers’a taşı → tekrar et	Iterative spatial equilibration
M-617	Mathematics	Random sequential adsorption	Objects sırayla random locations’a gelsin; overlap varsa reddet; zamanla available insertion space tükenir	Irreversible exclusion
M-618	Mathematics	Jamming limit in RSA	Space tamamen dolmadan bile artık yeni allowed object yerleştirilemeyecek configuration’a ulaş	Geometric exclusion
M-619	Mathematics	Poisson line process	Random points değil random infinite lines üret; space random intersections/cells’e ayrılsın	Stochastic line geometry
M-620	Mathematics	Crofton-type geometric sampling	Shape’i doğrudan ölçmek yerine random lines/planes ile kaç kez kesiştiğini kullanarak length/area gibi quantities çıkar	Integral geometry
M-621	Mathematics	McDiarmid bounded-differences inequality	Bir input component değişince output en fazla az oynuyorsa birçok independent component’in toplam etkisi büyük deviation üretmekte zorlanır	Independent inputs + bounded sensitivity
M-622	Mathematics	Efron–Stein inequality	Output uncertainty’sini, her input’u tek başına yeniden çektiğinde output’un ne kadar değiştiğinin toplamıyla bound et	Independent coordinates
M-623	Mathematics	Gaussian concentration	Gaussian input altında Lipschitz function tipik değerinden uzaklaşmak için exponentially pahalı hale gelir	Gaussian measure
M-624	Mathematics	Lévy concentration on sphere	Çok yüksek-dimensional sphere’de düzgün function’ın çoğu points’te neredeyse aynı değeri vermesi mümkündür	High-dimensional sphere
M-625	Mathematics	Talagrand convex-distance mechanism	Bir outcome’un “bad set”ten kaç coordinate değişikliği uzakta olduğu büyüdükçe probability hızla küçülür	Product spaces
M-626	Mathematics	Tensorization of concentration	Bir coordinate için concentration property varsa independence altında birçok coordinates’e compose edilebilir	Product measures
M-627	Mathematics	Marton coupling concentration	Independent olmayan process’te nearby conditional distributions yeterince couple edilebiliyorsa concentration recover et	Weak dependence
M-628	Mathematics	Transportation-cost inequality	Distribution’ı reference law’dan taşımanın minimum transport cost’unu relative entropy ile bound et	Measure geometry
M-629	Mathematics	Pinsker inequality	KL divergence küçükse total-variation difference da küçük olmak zorunda	Probability distributions
M-630	Mathematics	Le Cam distance mechanism	İki statistical experiments decision açısından birbirine ne kadar dönüştürülebilir diye Markov-kernel approximation ile ölç	Statistical experiments
M-631	Mathematics	Hanson–Wright inequality	Random vector’ın quadratic form’u mean’den ne kadar sapabilir diye matrix geometry + tail assumptions ile bound et	Sub-Gaussian coordinates
M-632	Mathematics	Matrix Bernstein	Birçok independent random matrix’in toplam spectral deviation’ını variance + max-step size ile kontrol et	Matrix-valued randomness
M-633	Mathematics	Matrix Chernoff	Positive-semidefinite random matrices toplamının eigenvalues’ının expectation’dan ciddi sapmasını bound et	PSD matrix sums
M-634	Mathematics	Noncommutative Khintchine	Random signed scalar sums yerine matrices/operators toplamının size’ını noncommutative geometry ile kontrol et	Random operator sums
M-635	Mathematics	ε-net spectral bound	Continuous unit sphere üzerinde sonsuz directions kontrol etmek yerine finite dense net kontrol et ve aradaki points’i continuity ile kapat	Compact metric sphere
M-636	Mathematics	Randomized range finder	Büyük matrix’in bütün columns’ını çözme; random probes ile dominant output subspace’i yakala	Approximate low rank
M-637	Mathematics	Oblivious subspace embedding	Hangi target subspace geleceğini bilmeden random map seç; bütün vectors’in lengths’ini yaklaşık koru	Fixed low-dimensional subspace
M-638	Mathematics	Leverage-score sampling	Rows/columns’ı uniformly değil, target subspace’i temsil etmedeki geometric importance’larına göre örnekle	Low-rank linear algebra
M-639	Mathematics	Nyström approximation	Büyük positive matrix/kernel’i birkaç strategically sampled columns ve onların intersections’ından reconstruct et	PSD/kernel matrix
M-640	Mathematics	CUR decomposition	Approximation factors soyut singular vectors olmak zorunda değil; original matrix’in actual columns ve rows’unu seçerek interpretable low-rank reconstruction kur	Approximately low-rank matrix
M-641	Mathematics	Harmonic function	Bir noktadaki değer, çevresindeki küçük sphere/circle üzerindeki değerlerin average’ına eşit olsun	Laplace-type equilibrium
M-642	Mathematics	Mean-value property	Local center bilgisi neighborhood average’ından tam recover edilebiliyorsa function equilibrium-like davranır	Harmonic domain
M-643	Mathematics	Poisson kernel	Boundary’deki değerlerin interior point’e ne kadar weight taşıdığını geometry’ye göre dağıt	Disk/half-space boundary problem
M-644	Mathematics	Dirichlet problem	Interior equation belli; yalnız boundary values veriliyor. İçerideki unique equilibrium field’i bul	Boundary-value PDE
M-645	Mathematics	Harmonic measure	Interior point’ten bakınca boundary’nin hangi parçası solution üzerinde ne kadar influence taşıyor?	Domain geometry
M-646	Mathematics	Brownian exit representation	Interior value’yu, random walker’ın boundary’de ilk çıktığı location’daki payoff’ın expectation’ı olarak hesapla	Brownian motion + boundary
M-647	Mathematics	Perron envelope	Exact solution’ı doğrudan kurma; boundary’yi aşmayan bütün subsolutions’ın üst envelope’unu al	Subharmonic family
M-648	Mathematics	Wiener regularity criterion	Boundary point geometrically “yeterince görünür” mü ki imposed boundary value gerçekten orada interior solution’a ulaşsın?	Fine boundary geometry
M-649	Mathematics	Equilibrium measure	Fixed total mass/charge’ı set üzerinde energy minimum olacak şekilde dağıt	Potential-energy minimization
M-650	Mathematics	Logarithmic potential	Her source point uzaklığa bağlı log kernel üzerinden influence eklesin; total field superposition olsun	2D potential theory
M-651	Mathematics	Logarithmic capacity	Bir set’in external field/potential açısından “ne kadar büyük/hedeflenebilir” olduğunu minimum-energy charge distribution ile ölç	Compact planar set
