rank	supplier_id	consumer_id	score	curated	active_for_build	adjudication_state	interface_matches	addressed_weaknesses	shared_domains	recommended_next	curated_rationale	decision_id	experiment_routing_status
223	FOUNDRY:P023	LCB-K010	30.0	False	True	UNADJUDICATED	boundary,gate	calibration,support	calibration,support	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
224	FOUNDRY:P023	LCB-K015	30.0	False	True	UNADJUDICATED	boundary,gate	calibration,support	calibration,support	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
225	FOUNDRY:P023	LCB-K035	30.0	False	True	UNADJUDICATED	boundary,gate	calibration,support	calibration,support	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
226	FOUNDRY:P023	LCB-K048	30.0	False	True	UNADJUDICATED	boundary,gate	calibration,support	calibration,support	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
227	FOUNDRY:P023	LCB-K049	30.0	False	True	UNADJUDICATED	boundary,gate	calibration,support	calibration,support	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
228	FOUNDRY:P023	LCB-K055	30.0	False	True	UNADJUDICATED	boundary,gate	calibration,support	calibration,support	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
229	FOUNDRY:P023	LCB-K056	30.0	False	True	UNADJUDICATED	boundary,gate	calibration,support	calibration,support	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
230	FOUNDRY:P023	LCB-K068	30.0	False	True	UNADJUDICATED	boundary,gate	calibration,support	calibration,support	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
231	FOUNDRY:P023	LCB-K086	30.0	False	True	UNADJUDICATED	boundary,gate	calibration,support	calibration,support	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
232	FOUNDRY:P023	LCB-K090	30.0	False	True	UNADJUDICATED	boundary,gate	calibration,support	calibration,support	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
233	FOUNDRY:P023	LCB-K091	30.0	False	True	UNADJUDICATED	boundary,gate	calibration,support	calibration,support	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
234	FOUNDRY:P023	PARENT:IM340_IM280_CWC	30.0	False	True	UNADJUDICATED	boundary,gate	calibration,support	calibration,support	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
235	FOUNDRY:P023	PARENT:IM359_IM014_AICC	30.0	False	True	UNADJUDICATED	boundary,gate	calibration,support	calibration,support	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
236	FOUNDRY:P023	PARENT:IM406_IM037_ACRA	30.0	False	True	UNADJUDICATED	boundary,gate	calibration,support	calibration,support	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
237	FOUNDRY:P023	PARENT:R008_E612_E613_LGID	30.0	False	True	UNADJUDICATED	boundary,gate	calibration,support	calibration,support	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
238	FOUNDRY:P023	PARENT:R041_CONSTRAINED_POLICY_CAPL	30.0	False	True	UNADJUDICATED	boundary,gate	calibration,support	calibration,support	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
239	FOUNDRY:P071	PARENT:IM359_IM014_AICC	30.0	False	True	UNADJUDICATED	boundary,gate	calibration,decision	calibration,decision	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
240	FOUNDRY:P071	PARENT:IM406_IM037_ACRA	30.0	False	True	UNADJUDICATED	boundary,gate	calibration,decision	calibration,decision	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
241	FOUNDRY:P091	PARENT:IM139_IM250_CCVC	30.0	False	True	UNADJUDICATED	representation	calibration,decision	boundary,calibration,decision,reduction,resilience,transfer	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
242	FOUNDRY:P091	PARENT:R023_M421_M428_CORMA	30.0	False	True	UNADJUDICATED	representation	calibration,decision	calibration,decision,reduction,resilience,transfer	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
243	FOUNDRY:P109	LCB-K003	30.0	False	True	UNADJUDICATED	evidence,gate	calibration,uncertainty	calibration,decision,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
244	FOUNDRY:P109	LCB-K010	30.0	False	True	UNADJUDICATED	evidence,gate	calibration,uncertainty	calibration,decision,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
245	FOUNDRY:P109	LCB-K015	30.0	False	True	UNADJUDICATED	evidence,gate	calibration,uncertainty	calibration,decision,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
246	FOUNDRY:P109	LCB-K035	30.0	False	True	UNADJUDICATED	evidence,gate	calibration,uncertainty	calibration,decision,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
247	FOUNDRY:P109	LCB-K048	30.0	False	True	UNADJUDICATED	evidence,gate	calibration,uncertainty	calibration,decision,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
248	FOUNDRY:P109	LCB-K049	30.0	False	True	UNADJUDICATED	evidence,gate	calibration,uncertainty	calibration,decision,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
249	FOUNDRY:P109	LCB-K055	30.0	False	True	UNADJUDICATED	evidence,gate	calibration,uncertainty	calibration,decision,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
250	FOUNDRY:P109	LCB-K056	30.0	False	True	UNADJUDICATED	evidence,gate	calibration,uncertainty	calibration,decision,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
251	FOUNDRY:P109	LCB-K068	30.0	False	True	UNADJUDICATED	evidence,gate	calibration,uncertainty	calibration,decision,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
252	FOUNDRY:P109	LCB-K086	30.0	False	True	UNADJUDICATED	evidence,gate	calibration,uncertainty	calibration,decision,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
253	FOUNDRY:P109	LCB-K090	30.0	False	True	UNADJUDICATED	evidence,gate	calibration,uncertainty	calibration,decision,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
254	FOUNDRY:P109	LCB-K091	30.0	False	True	UNADJUDICATED	evidence,gate	calibration,uncertainty	calibration,decision,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
255	FOUNDRY:P109	PARENT:R014_S781_S792_ACSA	30.0	False	True	UNADJUDICATED	evidence,gate	calibration,uncertainty	audit,calibration,transfer,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
256	FOUNDRY:P109	PARENT:R018_M866_M880_MCSC	30.0	False	True	UNADJUDICATED	evidence,gate	calibration,uncertainty	audit,calibration,transfer,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
257	FOUNDRY:P109	PARENT:R041_CONSTRAINED_POLICY_CAPL	30.0	False	True	UNADJUDICATED	evidence,gate	calibration,uncertainty	calibration,decision,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
258	FOUNDRY:P109	PARENT:R044_DECISION_LOSS_DLEW	30.0	False	True	UNADJUDICATED	evidence,gate	calibration,uncertainty	audit,calibration,decision,transfer,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
259	FOUNDRY:P110	PARENT:IM334_IM094_DRE	30.0	False	True	UNADJUDICATED	boundary,gate,representation	calibration	boundary,calibration,decision,transfer	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
260	FOUNDRY:P110	PARENT:R018_M866_M880_MCSC	30.0	False	True	UNADJUDICATED	boundary,gate,representation	calibration	boundary,calibration,selection,transfer	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
261	FOUNDRY:P110	PARENT:R044_DECISION_LOSS_DLEW	30.0	False	True	UNADJUDICATED	boundary,gate,representation	calibration	calibration,decision,selection,transfer	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
262	FOUNDRY:P136	PARENT:IM334_IM094_DRE	30.0	False	True	UNADJUDICATED	evidence	decision,uncertainty	confounding,decision,measurement,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
263	FOUNDRY:P136	PARENT:IM359_IM014_AICC	30.0	False	True	UNADJUDICATED	evidence	decision,uncertainty	confounding,decision,measurement,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
264	FOUNDRY:P136	PARENT:IM406_IM037_ACRA	30.0	False	True	UNADJUDICATED	evidence	decision,uncertainty	confounding,decision,measurement,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			BOOTSTRAP_CHANNEL_CALIBRATED_SCIENTIFIC_CONTRACT_STILL_REQUIRED
265	FOUNDRY:P138	PARENT:IM178_IM326_TWMR	30.0	False	True	UNADJUDICATED	evidence	decision,uncertainty	allocation,calibration,decision,support,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			BOOTSTRAP_CHANNEL_CALIBRATED_SCIENTIFIC_CONTRACT_STILL_REQUIRED
266	FOUNDRY:P138	PARENT:IM334_IM094_DRE	30.0	False	True	UNADJUDICATED	evidence	decision,uncertainty	allocation,calibration,confounding,control,decision,measurement,support,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
267	FOUNDRY:P138	PARENT:IM359_IM014_AICC	30.0	False	True	UNADJUDICATED	evidence	decision,uncertainty	allocation,calibration,confounding,control,decision,measurement,support,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
268	FOUNDRY:P138	PARENT:IM406_IM037_ACRA	30.0	False	True	UNADJUDICATED	evidence	decision,uncertainty	allocation,calibration,confounding,decision,measurement,support,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
269	FOUNDRY:P138	PARENT:R020_P848_P851_SCCRT	30.0	False	True	UNADJUDICATED	evidence	decision,uncertainty	allocation,calibration,decision,support,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
270	FOUNDRY:P140	PARENT:IM401_IM030_MFPA	30.0	False	True	UNADJUDICATED	representation	calibration,support	calibration,support,transfer	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
271	FOUNDRY:P140	PARENT:IM445_IM085_CSID	30.0	False	True	UNADJUDICATED	representation	calibration,support	audit,calibration,support,transfer	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
272	FOUNDRY:P140	PARENT:R045_TARGET_MEMORY_ATRC	30.0	False	True	UNADJUDICATED	representation	calibration,support	audit,calibration,support,transfer	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
273	FOUNDRY:P141	LCB-K012	30.0	False	True	UNADJUDICATED	boundary,gate,representation	calibration	calibration,decision	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
274	FOUNDRY:P141	LCB-K081	30.0	False	True	UNADJUDICATED	boundary,gate,representation	calibration	calibration,transfer	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
275	LCB-R50-149	FOUNDRY:P137	30.0	False	True	UNADJUDICATED	boundary,gate,representation	support	allocation,calibration,control,support,transfer,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
276	LCB-R50-149	FOUNDRY:P138	30.0	False	True	UNADJUDICATED	boundary,gate,representation	support	allocation,calibration,control,decision,support,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
277	LCB-R50-149	PARENT:IM334_IM094_DRE	30.0	False	True	UNADJUDICATED	boundary,gate,representation	support	allocation,boundary,calibration,control,decision,support,transfer,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
278	LCB-R50-149	PARENT:IM340_IM280_CWC	30.0	False	True	UNADJUDICATED	boundary,gate,representation	support	allocation,calibration,control,support,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
279	LCB-R50-149	PARENT:IM359_IM014_AICC	30.0	False	True	UNADJUDICATED	boundary,gate,representation	support	allocation,calibration,control,decision,support,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
280	LCB-R50-149	PARENT:IM406_IM037_ACRA	30.0	False	True	UNADJUDICATED	boundary,gate,representation	support	allocation,calibration,decision,support,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
281	LCB-R50-149	PARENT:R008_E612_E613_LGID	30.0	False	True	UNADJUDICATED	boundary,gate,representation	support	allocation,calibration,control,support,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
282	LCB-R50-149	PARENT:R014_S781_S792_ACSA	30.0	False	True	UNADJUDICATED	boundary,gate,representation	support	allocation,calibration,control,support,transfer,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
283	LCB-R50-149	PARENT:R018_M866_M880_MCSC	30.0	False	True	UNADJUDICATED	boundary,gate,representation	support	allocation,boundary,calibration,control,support,transfer,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
284	LCB-R50-149	PARENT:R041_CONSTRAINED_POLICY_CAPL	30.0	False	True	UNADJUDICATED	boundary,gate,representation	support	allocation,calibration,control,decision,support,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
285	LCB-R50-149	PARENT:R044_DECISION_LOSS_DLEW	30.0	False	True	UNADJUDICATED	boundary,gate,representation	support	allocation,calibration,control,decision,support,transfer,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
286	PARENT:IM406_IM037_ACRA	FOUNDRY:P057	30.0	False	True	UNADJUDICATED	evidence	decision,uncertainty	allocation,calibration,confounding,decision,measurement,support,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
287	PARENT:R001_C313_BPISD	FOUNDRY:P138	30.0	False	True	UNADJUDICATED	evidence,representation	decision	confounding,decision,measurement	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
288	PARENT:R001_C313_BPISD	FOUNDRY:P140	30.0	False	True	UNADJUDICATED	evidence,representation	decision	decision,reduction,resilience	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
289	PARENT:R001_C313_BPISD	FOUNDRY:P141	30.0	False	True	UNADJUDICATED	evidence,representation	decision	decision,reduction,resilience	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
290	PARENT:R001_C313_BPISD	FOUNDRY:P142	30.0	False	True	UNADJUDICATED	evidence,representation	decision	decision,reduction,resilience	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
291	PARENT:R001_C313_BPISD	PARENT:IM139_IM250_CCVC	30.0	False	True	UNADJUDICATED	evidence,representation	decision	decision,reduction,resilience	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
292	PARENT:R001_C313_BPISD	PARENT:IM334_IM094_DRE	30.0	False	True	UNADJUDICATED	evidence,representation	decision	confounding,decision,measurement	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
293	PARENT:R001_C313_BPISD	PARENT:IM359_IM014_AICC	30.0	False	True	UNADJUDICATED	evidence,representation	decision	confounding,decision,measurement	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
294	PARENT:R001_C313_BPISD	PARENT:IM406_IM037_ACRA	30.0	False	True	UNADJUDICATED	evidence,representation	decision	confounding,decision,measurement	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
295	PARENT:R001_C313_BPISD	PARENT:R023_M421_M428_CORMA	30.0	False	True	UNADJUDICATED	evidence,representation	decision	decision,reduction,resilience	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
296	PARENT:R028_S418_S439_TDSX	PARENT:IM334_IM094_DRE	30.0	False	True	UNADJUDICATED	boundary,gate	decision	boundary,calibration,decision,transfer	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
297	PARENT:R037_SUPPORT_COVARIANCE_SACPS	FOUNDRY:P067	30.0	False	True	UNADJUDICATED	gate	support,uncertainty	calibration,support,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
298	PARENT:R037_SUPPORT_COVARIANCE_SACPS	FOUNDRY:P091	30.0	False	True	UNADJUDICATED		decision,support,uncertainty	calibration,decision,support,transfer,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
299	PARENT:R037_SUPPORT_COVARIANCE_SACPS	FOUNDRY:P099	30.0	False	True	UNADJUDICATED	gate	support,uncertainty	calibration,support,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
300	PARENT:R037_SUPPORT_COVARIANCE_SACPS	LCB-R50-149	30.0	False	True	UNADJUDICATED	gate	decision,support,uncertainty	calibration,decision,support,transfer,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
301	PARENT:R038_DECISION_HEDGE_DHCC	FOUNDRY:P057	30.0	False	True	UNADJUDICATED	gate	decision,uncertainty	calibration,decision,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
302	FOUNDRY:P023	LCB-K081	29.0	False	True	UNADJUDICATED	boundary,gate	calibration,support	calibration,causal,support,transfer	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
303	FOUNDRY:P057	PARENT:IM178_IM326_TWMR	29.0	False	True	UNADJUDICATED	evidence	decision,uncertainty	allocation,calibration,decision,support,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
304	FOUNDRY:P057	PARENT:IM334_IM094_DRE	29.0	False	True	UNADJUDICATED	evidence	decision,uncertainty	allocation,calibration,confounding,control,decision,measurement,support,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
305	FOUNDRY:P057	PARENT:IM359_IM014_AICC	29.0	False	True	UNADJUDICATED	evidence	decision,uncertainty	allocation,calibration,confounding,control,decision,measurement,support,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
306	FOUNDRY:P057	PARENT:IM406_IM037_ACRA	29.0	False	True	UNADJUDICATED	evidence	decision,uncertainty	allocation,calibration,confounding,decision,measurement,support,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
307	FOUNDRY:P057	PARENT:R020_P848_P851_SCCRT	29.0	False	True	UNADJUDICATED	evidence	decision,uncertainty	allocation,calibration,decision,support,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
308	FOUNDRY:P059	LCB-K003	29.0	False	True	UNADJUDICATED	boundary,gate	calibration	allocation,calibration,support,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
309	FOUNDRY:P059	LCB-K010	29.0	False	True	UNADJUDICATED	boundary,gate	calibration	allocation,calibration,support,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
310	FOUNDRY:P059	LCB-K015	29.0	False	True	UNADJUDICATED	boundary,gate	calibration	allocation,calibration,support,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
311	FOUNDRY:P059	LCB-K035	29.0	False	True	UNADJUDICATED	boundary,gate	calibration	allocation,calibration,support,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
312	FOUNDRY:P059	LCB-K048	29.0	False	True	UNADJUDICATED	boundary,gate	calibration	allocation,calibration,support,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
313	FOUNDRY:P059	LCB-K049	29.0	False	True	UNADJUDICATED	boundary,gate	calibration	allocation,calibration,support,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
314	FOUNDRY:P059	LCB-K055	29.0	False	True	UNADJUDICATED	boundary,gate	calibration	allocation,calibration,support,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
315	FOUNDRY:P059	LCB-K056	29.0	False	True	UNADJUDICATED	boundary,gate	calibration	allocation,calibration,support,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
316	FOUNDRY:P059	LCB-K068	29.0	False	True	UNADJUDICATED	boundary,gate	calibration	allocation,calibration,support,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
317	FOUNDRY:P059	LCB-K086	29.0	False	True	UNADJUDICATED	boundary,gate	calibration	allocation,calibration,support,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
318	FOUNDRY:P059	LCB-K090	29.0	False	True	UNADJUDICATED	boundary,gate	calibration	allocation,calibration,support,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
319	FOUNDRY:P059	LCB-K091	29.0	False	True	UNADJUDICATED	boundary,gate	calibration	allocation,calibration,support,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
320	FOUNDRY:P059	PARENT:IM334_IM094_DRE	29.0	False	True	UNADJUDICATED	boundary,gate	calibration	allocation,boundary,calibration,support,transfer,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
321	FOUNDRY:P059	PARENT:IM340_IM280_CWC	29.0	False	True	UNADJUDICATED	boundary,gate	calibration	allocation,calibration,support,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
322	FOUNDRY:P059	PARENT:IM359_IM014_AICC	29.0	False	True	UNADJUDICATED	boundary,gate	calibration	allocation,calibration,support,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
323	FOUNDRY:P059	PARENT:IM406_IM037_ACRA	29.0	False	True	UNADJUDICATED	boundary,gate	calibration	allocation,calibration,support,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
324	FOUNDRY:P059	PARENT:R008_E612_E613_LGID	29.0	False	True	UNADJUDICATED	boundary,gate	calibration	allocation,calibration,support,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
325	FOUNDRY:P059	PARENT:R014_S781_S792_ACSA	29.0	False	True	UNADJUDICATED	boundary,gate	calibration	allocation,audit,calibration,support,transfer,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
